left_elbow_angle,right_elbow_angle,left_elbow_z,right_elbow_z,right_hand_z,left_hand_z
172.34627100918308,170.05819762351703,-0.18044280111789698,-0.331649026274681,-0.49340088367462154,-0.8079718381166457
173.22531533458985,169.38372010073255,-0.1499128945171832,-0.2615886442363261,-0.4494741842150688,-0.6611952871084212
170.7693661477821,169.47336980367177,-0.1550713770091533,-0.22778869643807403,-0.4591803416609763,-0.6253390818834305
169.86387102709233,169.2189551553326,-0.15824392959475514,-0.21841313317418096,-0.4634205564856529,-0.6171906858682632
169.80803691248244,169.63459212235406,-0.1596065424382686,-0.24428735449910155,-0.4662606298923491,-0.6675793945789337
169.81407491761007,170.1325146351879,-0.1699457503855228,-0.2391796469688415,-0.47489676028490063,-0.6682635456323623
170.06194649792096,170.28348074771324,-0.16884347274899475,-0.22521704658865924,-0.4706801250576972,-0.6245394319295883
170.37755651241923,170.40044662414496,-0.17113773673772803,-0.23007893338799476,-0.47125748246908183,-0.6422248840332031
170.17501966790675,169.91251245303894,-0.17690109759569156,-0.23493483960628506,-0.4770843163132667,-0.652130165696144
169.836767062681,169.46842472416157,-0.18516343310475347,-0.2304049350321292,-0.4844407737255096,-0.6335011869668961
169.47748726412985,169.93486196996673,-0.19612129703164088,-0.21863487735390652,-0.4978840917348861,-0.6067084580659866
169.5318752205899,169.21111402229874,-0.19568270966410628,-0.2082533426582813,-0.49905224144458765,-0.5911091834306716
169.50687067581504,169.59702474454033,-0.19708314239978783,-0.2165571995079517,-0.4976088479161262,-0.6122032582759857
169.35794430583232,169.0002381146605,-0.19920448362827292,-0.22062113285064686,-0.5031375780701637,-0.6097191751003265
170.0193564882382,168.74976610180047,-0.20447947606444358,-0.2225846484303474,-0.5033262833952903,-0.6164817214012146
167.8153080704635,168.95284282922324,-0.20282573401927942,-0.22592549696564662,-0.500447104871273,-0.6130380034446716
166.5939797940541,169.51444128872865,-0.2043738134205341,-0.19886335060000415,-0.5001585975289344,-0.5421061187982558
164.6617903577402,170.0270859416058,-0.21048757806420318,-0.2058287911117076,-0.507795302569866,-0.5703640729188919
163.9662272356607,170.15494886038724,-0.21552019417285914,-0.19932454079389564,-0.5142514169216155,-0.5453805297613143
