,threshold_type,threshold_value,min,max,mean,median,std,passes,total,pass_percent
left_elbow_angle,min,160.0,128.8234179062135,167.7721424982231,139.19910882301215,134.6400433336404,11.481559626710327,20,144,13.88888888888889
right_elbow_angle,min,160.0,138.00015088104257,179.9198393543973,150.28803145246385,145.54043033436093,11.131733914491772,25,144,17.36111111111111
left_hand_z,max,-0.05,-1.7004922986030577,-0.4492953494191169,-1.1921386718543039,-1.241321587562561,0.2305233827025482,144,144,100.0
right_hand_z,max,-0.05,-0.7625096201896667,0.3643660947680473,-0.2450271118414497,-0.21409980617463584,0.21065907337749892,115,144,79.86111111111111
