,threshold_type,threshold_value,min,max,mean,median,std,passes,total,pass_percent
left_elbow_angle,min,160.0,130.52245362832048,155.2743108003301,145.04005501003044,144.42416887169585,4.613212114161363,0,75,0.0
right_elbow_angle,min,160.0,130.98256291352342,174.6776335758967,164.5856839596612,165.25513116277233,7.898738789086782,68,75,90.66666666666666
left_hand_z,max,-0.05,-0.768915456533432,-0.34290046989917744,-0.5950633717974028,-0.6000786155462264,0.09224779246554998,75,75,100.0
right_hand_z,max,-0.05,-0.7072505593299865,-0.21327221542596816,-0.41074298378825186,-0.39358238130807865,0.09951977174345625,75,75,100.0
