,threshold_type,threshold_value,min,max,mean,median,std,passes,total,pass_percent
left_elbow_angle,min,160.0,173.22290119783486,176.24647886633315,174.76013720012114,174.78206219383725,0.7159790747829055,240,240,100.0
right_elbow_angle,min,160.0,175.69380124590106,178.24579705312738,177.16356116908386,177.1195203303107,0.6168719845875817,240,240,100.0
left_hand_z,max,-0.05,-0.7617232680320739,-0.5515474170446395,-0.614941482587407,-0.6131806120276451,0.03404514776534853,240,240,100.0
right_hand_z,max,-0.05,-1.0135359585285186,-0.849121594429016,-0.9505724307025472,-0.9513216361403465,0.03191019682621764,240,240,100.0
