frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22
0,0.5342897176742554,0.3794264793395996,-0.3838029205799103,0.5466957688331604,0.35182398557662964,-0.34807288646698,0.5530613660812378,0.3537769317626953,-0.34804567694664,0.5596309304237366,0.3565729856491089,-0.34771987795829773,0.5222090482711792,0.3527023196220398,-0.33976030349731445,0.5138953924179077,0.3550880551338196,-0.3395894467830658,0.5062202215194702,0.358903169631958,-0.3397279381752014,0.5720182657241821,0.3827534317970276,-0.15440286695957184,0.49574342370033264,0.39015913009643555,-0.11479184776544571,0.5508427023887634,0.4216395616531372,-0.31819212436676025,0.5190130472183228,0.4205043911933899,-0.30774590373039246,0.6311936974525452,0.6325557827949524,-0.050642967224121094,0.4445009231567383,0.6383101344108582,-0.011894894763827324,0.7074846029281616,0.8910036087036133,-0.2119319885969162,0.37986040115356445,0.9253289103507996,-0.24641770124435425,0.7604631185531616,0.6779340505599976,-0.5480560660362244,0.3294491171836853,0.7131342887878418,-0.7197123765945435,0.7701321840286255,0.610979437828064,-0.5955778360366821,0.32237309217453003,0.6567671298980713,-0.7883870601654053,0.7613098621368408,0.5814054608345032,-0.5799866318702698,0.3318316638469696,0.6237832903862,-0.7643460631370544,0.7521075010299683,0.6071124076843262,-0.551114022731781,0.336734801530838,0.6412957906723022,-0.7251874208450317
1,0.5342897176742554,0.3798416554927826,-0.41415369510650635,0.5466972589492798,0.3538978397846222,-0.37874525785446167,0.5532132387161255,0.3555808961391449,-0.37873247265815735,0.5596645474433899,0.3579809367656708,-0.3783591091632843,0.5216854810714722,0.3543938398361206,-0.3692978024482727,0.5134193897247314,0.3568246364593506,-0.36930912733078003,0.5056871771812439,0.3601478040218353,-0.3693995773792267,0.5723756551742554,0.38568124175071716,-0.18677189946174622,0.4958707094192505,0.391334593296051,-0.14083197712898254,0.5510530471801758,0.42350709438323975,-0.34921377897262573,0.5189946293830872,0.42212751507759094,-0.3369087278842926,0.6321138739585876,0.6356052756309509,-0.09487894177436829,0.4446491599082947,0.6451122760772705,-0.022654179483652115,0.7081958651542664,0.897367537021637,-0.34051695466041565,0.37822335958480835,0.9297200441360474,-0.22361867129802704,0.7598966956138611,0.6778355240821838,-0.7676694393157959,0.32969269156455994,0.7159140706062317,-0.6557247042655945,0.7699707746505737,0.611020565032959,-0.8354369401931763,0.32255983352661133,0.6572675704956055,-0.7132830023765564,0.7610946297645569,0.583032488822937,-0.811440646648407,0.33210816979408264,0.6248998045921326,-0.6966046690940857,0.7515761256217957,0.6071111559867859,-0.7697402834892273,0.337581604719162,0.6427902579307556,-0.6625421643257141
2,0.5343158841133118,0.3797626495361328,-0.3627372980117798,0.5467203259468079,0.3541141450405121,-0.32834258675575256,0.5533728003501892,0.35586056113243103,-0.328380286693573,0.5596926212310791,0.3582780957221985,-0.328032910823822,0.5214002728462219,0.354397714138031,-0.3205825090408325,0.5131285786628723,0.3568280041217804,-0.3205868899822235,0.5052480101585388,0.3601472079753876,-0.3207119405269623,0.5727126598358154,0.3869321346282959,-0.15044379234313965,0.4958716928958893,0.39164113998413086,-0.11105865985155106,0.5511639714241028,0.42398545145988464,-0.30387651920318604,0.5189242362976074,0.4225355088710785,-0.2938039004802704,0.6324078440666199,0.6358873844146729,-0.08459492772817612,0.44464677572250366,0.646619975566864,-0.006024063099175692,0.7083778977394104,0.8991793990135193,-0.31061699986457825,0.3778296709060669,0.9317626357078552,-0.1987815946340561,0.7592105269432068,0.6789367198944092,-0.7120133638381958,0.330007404088974,0.7170817852020264,-0.6332913041114807,0.7692683935165405,0.6128576397895813,-0.7741939425468445,0.3227991759777069,0.6572673916816711,-0.692952573299408,0.7607662081718445,0.5873497128486633,-0.752534031867981,0.33240363001823425,0.6251844763755798,-0.6734495162963867,0.751183271408081,0.608123242855072,-0.7146516442298889,0.3380974233150482,0.6430469155311584,-0.6400638222694397
3,0.5343217253684998,0.3796681761741638,-0.37502211332321167,0.5467353463172913,0.3541199266910553,-0.3404441475868225,0.5534957051277161,0.35591012239456177,-0.34045201539993286,0.5597407221794128,0.3583722710609436,-0.340074360370636,0.5211941003799438,0.35436031222343445,-0.33266931772232056,0.5129290223121643,0.3568018972873688,-0.3327455520629883,0.5049493312835693,0.3601217567920685,-0.3328220546245575,0.5730780363082886,0.38788366317749023,-0.1606667935848236,0.4958783686161041,0.39201194047927856,-0.12188886106014252,0.5512248873710632,0.4244184195995331,-0.3160339593887329,0.5188047885894775,0.4229673147201538,-0.3059990108013153,0.6332166790962219,0.6376984119415283,-0.08926073461771011,0.4446468651294708,0.6489698886871338,-0.0134307025000453,0.7088148593902588,0.9011778831481934,-0.33467644453048706,0.37742072343826294,0.9340918064117432,-0.20944078266620636,0.7588958144187927,0.6798422932624817,-0.759868323802948,0.330230176448822,0.7174673080444336,-0.6531677842140198,0.7685186266899109,0.6143086552619934,-0.8273628354072571,0.3228164613246918,0.6572442650794983,-0.7148628234863281,0.7600705623626709,0.5912343263626099,-0.8065946698188782,0.33250826597213745,0.6254600286483765,-0.6965707540512085,0.7505295872688293,0.6102243661880493,-0.7632032036781311,0.3384939730167389,0.6431824564933777,-0.6604267358779907
4,0.5344446301460266,0.37943035364151,-0.36354315280914307,0.5468187928199768,0.3540802001953125,-0.32845833897590637,0.5536293387413025,0.35589873790740967,-0.3284687399864197,0.5597754120826721,0.3583691418170929,-0.32812780141830444,0.5211915373802185,0.35421791672706604,-0.322492390871048,0.5129215717315674,0.35665255784988403,-0.3225370943546295,0.5049008131027222,0.35997065901756287,-0.3226589858531952,0.5731147527694702,0.3881186842918396,-0.14596764743328094,0.49592119455337524,0.39204493165016174,-0.11667108535766602,0.5513741970062256,0.4247211515903473,-0.30280476808547974,0.5188027024269104,0.4232218265533447,-0.2954659163951874,0.6334041953086853,0.6382790207862854,-0.07889880985021591,0.4445423185825348,0.6495345234870911,-0.012957057915627956,0.7090829014778137,0.901997447013855,-0.30715999007225037,0.3771471679210663,0.9348958730697632,-0.21369095146656036,0.7588133215904236,0.6800774931907654,-0.7161813974380493,0.33050626516342163,0.7174484133720398,-0.6581764221191406,0.7682907581329346,0.6146395206451416,-0.7796947956085205,0.3229627311229706,0.6565921306610107,-0.7220669388771057,0.7597863078117371,0.5921663045883179,-0.760166585445404,0.332766056060791,0.6254608035087585,-0.7025226354598999,0.7503023147583008,0.6107426285743713,-0.7198678255081177,0.33928853273391724,0.6430018544197083,-0.665247917175293
5,0.5345876216888428,0.37921765446662903,-0.3838830888271332,0.5468622446060181,0.35397961735725403,-0.3480828106403351,0.5537079572677612,0.35587596893310547,-0.34808337688446045,0.5598016381263733,0.35836759209632874,-0.34775739908218384,0.5212029814720154,0.3538471460342407,-0.34269243478775024,0.5129258632659912,0.3562275171279907,-0.3427281379699707,0.5049002170562744,0.3595663607120514,-0.3428264856338501,0.5731591582298279,0.38830867409706116,-0.1578887552022934,0.495987206697464,0.39205774664878845,-0.130325585603714,0.5514624118804932,0.42496806383132935,-0.3196530342102051,0.5188143849372864,0.42350924015045166,-0.3129010498523712,0.6336541771888733,0.6384977698326111,-0.07918258756399155,0.4441376328468323,0.6500319242477417,-0.022087177261710167,0.7094089388847351,0.903623104095459,-0.30684325098991394,0.37688523530960083,0.9359696507453918,-0.21711567044258118,0.758795976638794,0.681408703327179,-0.7168864011764526,0.3303597867488861,0.7174266576766968,-0.6651929616928101,0.7682992815971375,0.6161144971847534,-0.7800724506378174,0.3224654197692871,0.6564558744430542,-0.7294038534164429,0.7597567439079285,0.593627393245697,-0.759842038154602,0.3324422836303711,0.625542938709259,-0.7092654705047607,0.7502204179763794,0.6116622686386108,-0.7202674150466919,0.33914268016815186,0.6429412364959717,-0.6719232797622681
6,0.5345910787582397,0.3786250054836273,-0.37650221586227417,0.546859860420227,0.3534489870071411,-0.3414643108844757,0.5537174344062805,0.3555026054382324,-0.34148040413856506,0.5598013997077942,0.3581030070781708,-0.34115418791770935,0.5211893320083618,0.3530513346195221,-0.33585798740386963,0.512916088104248,0.35531553626060486,-0.3358892798423767,0.5048842430114746,0.3586891293525696,-0.3359943926334381,0.5731610059738159,0.38829541206359863,-0.15492922067642212,0.4960328936576843,0.392058402299881,-0.1286976933479309,0.551468014717102,0.42494264245033264,-0.3139616847038269,0.5187978744506836,0.42346563935279846,-0.3071053922176361,0.6338593363761902,0.6384782195091248,-0.07733210921287537,0.44399815797805786,0.6503106951713562,-0.022001467645168304,0.7094448208808899,0.9041016101837158,-0.3015647828578949,0.37573713064193726,0.9360203146934509,-0.21864870190620422,0.7587968707084656,0.6827112436294556,-0.7057608962059021,0.32969462871551514,0.7177166938781738,-0.6681760549545288,0.7683069705963135,0.6176238059997559,-0.7684906721115112,0.32169240713119507,0.6566331386566162,-0.7326967716217041,0.7596132755279541,0.5951778292655945,-0.7494493722915649,0.3318427503108978,0.6263193488121033,-0.7128515839576721,0.7500227689743042,0.6126906871795654,-0.7094351053237915,0.33857864141464233,0.6430763006210327,-0.6751935482025146
7,0.5345504879951477,0.3775855600833893,-0.39750322699546814,0.5468263030052185,0.3524840176105499,-0.36123016476631165,0.5537214279174805,0.35472574830055237,-0.3612346649169922,0.5597538352012634,0.35748490691185,-0.36087605357170105,0.52113938331604,0.351959228515625,-0.355239599943161,0.5128803849220276,0.35406017303466797,-0.35526660084724426,0.5048245191574097,0.3573865294456482,-0.35537204146385193,0.5731355547904968,0.38824599981307983,-0.16820557415485382,0.4960378408432007,0.391938716173172,-0.13973599672317505,0.551455557346344,0.4244643449783325,-0.3327390253543854,0.5186002254486084,0.422916054725647,-0.32535555958747864,0.6339508295059204,0.6385144591331482,-0.0841151624917984,0.44379523396492004,0.6506797671318054,-0.03066224604845047,0.709721028804779,0.9050242900848389,-0.31882521510124207,0.37517547607421875,0.9368404150009155,-0.23623251914978027,0.7587048411369324,0.6838549971580505,-0.7391003966331482,0.32944974303245544,0.7189995050430298,-0.6967864632606506,0.7682291269302368,0.6192055344581604,-0.8046568632125854,0.3211396336555481,0.6570231914520264,-0.762780487537384,0.7592863440513611,0.596754789352417,-0.7863698601722717,0.33129003643989563,0.6272063255310059,-0.7472532987594604,0.7497042417526245,0.6139587759971619,-0.7431731820106506,0.33807384967803955,0.6435348987579346,-0.7054265737533569
8,0.534292995929718,0.3771193325519562,-0.374430775642395,0.5465826392173767,0.35193586349487305,-0.33920347690582275,0.5536607503890991,0.3542361259460449,-0.33919814229011536,0.5595870614051819,0.3570724129676819,-0.3388267457485199,0.5209435820579529,0.3514740467071533,-0.3319084048271179,0.5127674341201782,0.3535362184047699,-0.3318835496902466,0.5047056674957275,0.3568549156188965,-0.3319758474826813,0.5730342864990234,0.3881269097328186,-0.15449775755405426,0.49605023860931396,0.3918920159339905,-0.1202445924282074,0.5513346195220947,0.42410510778427124,-0.31346452236175537,0.518354058265686,0.4224797785282135,-0.30452588200569153,0.6339752674102783,0.63835608959198,-0.08187548071146011,0.44364461302757263,0.6506048440933228,-0.015460659749805927,0.7098634839057922,0.9053018689155579,-0.3187905251979828,0.37506094574928284,0.936809778213501,-0.2237349897623062,0.7580023407936096,0.683842658996582,-0.7284616827964783,0.32904869318008423,0.7190117835998535,-0.6848457455635071,0.7675071954727173,0.619330883026123,-0.7930873036384583,0.3205181956291199,0.6570355892181396,-0.7511599063873291,0.7580376267433167,0.5969040989875793,-0.7722335457801819,0.33094725012779236,0.6273102760314941,-0.7334263920783997,0.7484528422355652,0.6142533421516418,-0.731418251991272,0.3377581238746643,0.6435062289237976,-0.6934013366699219
9,0.5339309573173523,0.3771158754825592,-0.3908486068248749,0.5463547110557556,0.3518697917461395,-0.3549160063266754,0.5536033511161804,0.354147732257843,-0.3548968732357025,0.5594263672828674,0.35697901248931885,-0.3545098900794983,0.5207183957099915,0.35147222876548767,-0.3488757014274597,0.5126047134399414,0.353546679019928,-0.34888923168182373,0.5045043230056763,0.3568686842918396,-0.34898704290390015,0.5729257464408875,0.38808101415634155,-0.16412624716758728,0.4960536062717438,0.3919300436973572,-0.13565781712532043,0.5511438846588135,0.42409101128578186,-0.3271217942237854,0.5179895162582397,0.4224776029586792,-0.3197580575942993,0.6339824199676514,0.6383939981460571,-0.0825372189283371,0.4431666433811188,0.6505681276321411,-0.03054528310894966,0.7098637223243713,0.9052833318710327,-0.320466011762619,0.374422550201416,0.9368478059768677,-0.24486136436462402,0.7577510476112366,0.6838291883468628,-0.7457759380340576,0.3287560045719147,0.7189246416091919,-0.7107136249542236,0.7673261165618896,0.6195423007011414,-0.8129302263259888,0.32000550627708435,0.6570296287536621,-0.7791324853897095,0.757626473903656,0.5970695614814758,-0.7953110337257385,0.33053335547447205,0.6273728013038635,-0.7633662819862366,0.7480801343917847,0.6144704818725586,-0.7502893805503845,0.33742016553878784,0.6433979272842407,-0.7196000814437866
