left_pull_distance,right_pull_distance,left_pull_alignment,right_pull_alignment,eye_level_diff,shoulder_level_diff
0.17779089806071705,0.17131678285410362,0.1551851630210876,0.041628628969192505,0.02603620290756231,0.07097578048706055
0.17136634636266745,0.1525578739972305,0.15998736023902888,0.0581278800964356,0.026775449514389094,0.06894123554229736
0.18114609757622527,0.14637474169095288,0.1633980274200439,0.06432998180389399,0.027463436126708984,0.06828072667121887
0.18493158328966053,0.1431340200964691,0.16594234108924868,0.065948635339737,0.027966678142547607,0.06824237108230591
0.18724230612188644,0.14454231227667608,0.165127083659172,0.06585109233856196,0.028560608625411987,0.06790673732757568
0.18678520991859057,0.14418492309706,0.1651291698217392,0.06702876091003412,0.0288878977298736,0.06752213835716253
0.18620852728942253,0.1440865584470722,0.16472722589969643,0.0678368210792541,0.029057294130325262,0.06705594062805176
0.1859113265658692,0.14389022124229117,0.1649989485740661,0.0687138438224793,0.029108077287674006,0.06687614321708679
0.18559429762533486,0.1445782184092938,0.1651115119457245,0.06855309009552002,0.029173284769058228,0.06668758392333984
0.18360921128526433,0.14446293582083397,0.16592401266098028,0.0692783892154693,0.029258430004119818,0.06656646728515625
0.18263497388403566,0.14601643111562917,0.1664521843194961,0.06954461336135859,0.0293198823928833,0.06648167967796326
0.18017282659388886,0.14642044438654683,0.1664991825819016,0.06957784295082092,0.029339253902435303,0.06641653180122375
0.18130349527585948,0.14675307258014045,0.16656281054019928,0.06973627209663391,0.029380351305007935,0.06642478704452515
0.17889069755380904,0.1486705370923131,0.1659670621156693,0.06917628645896906,0.029719471931457464,0.06661501526832586
0.18048458652976113,0.1487730041655392,0.16569922864437103,0.06794673204422003,0.029847681522369385,0.0667595267295838
0.18383941825762254,0.15192850177922237,0.16515138745307928,0.0660866796970368,0.0297681987285614,0.0670500099658966
0.18323496132867734,0.1556523498842658,0.16445080935955048,0.06498160958290095,0.029588282108306885,0.0671257376670838
0.18487553899304865,0.15444895980393666,0.1645402312278748,0.0644359290599823,0.029307752847671453,0.06725561618804932
