hand_clasp_distance,left_arm_vertical_angle,right_arm_vertical_angle,eye_level_diff,shoulder_level_diff
0.07194313818447194,167.6410971827188,161.19379765105973,-0.014956384897232056,-0.06842675805091858
0.07152935977763024,167.9787905867549,161.14165897669852,-0.015612304210662897,-0.0687906444072724
0.07098073447547783,168.56792096480493,160.63370189418475,-0.01611649990081787,-0.0694742500782013
0.06992084108253602,169.01038077345905,160.4172865066772,-0.016386449337005615,-0.06999465823173517
0.06894794323503722,169.4195957452284,160.29214743889645,-0.0167657732963562,-0.07085800170898432
0.06937869561236414,169.68586822731194,160.06265493381352,-0.017227381467819214,-0.07165387272834783
0.06990160097377607,170.08073426172515,159.59172747722172,-0.01784366369247442,-0.07232645153999329
0.07088976877553865,170.28535593351,159.158931371635,-0.01832669973373413,-0.07296332716941839
0.07196806560547533,170.5588294340068,159.03189925829068,-0.018481254577636774,-0.07351070642471313
0.07196313980938333,170.72382567220535,159.37513442772908,-0.019495606422424316,-0.07408401370048523
0.07207976226586266,170.79545917441177,159.52329175108437,-0.0205918550491333,-0.0743804275989533
0.07223865993580846,170.96195011556156,159.9930004875563,-0.021205097436904907,-0.07482436299324036
0.07231717274372362,171.09589874052293,160.2725970325905,-0.021519124507903997,-0.07501739263534551
0.07248070212481611,171.14616391137386,160.36688708960253,-0.02201095223426819,-0.07540902495384216
0.07234848543520249,171.20874801139212,160.4448613396063,-0.022392511367797907,-0.075646311044693
0.07180597288697171,171.1946547899239,160.5306959226068,-0.022940933704376165,-0.07582691311836243
0.07112646073048262,171.0952057437342,160.5075207940488,-0.0234843790531159,-0.07595103979110718
0.07037653320459322,171.01431655873515,160.41807180419391,-0.024043858051299993,-0.07608252763748169
0.07005318177990408,170.96675858531947,160.72473193896388,-0.024646103382110596,-0.07621651887893671
0.07033058312871454,171.06787519703704,161.19882736268494,-0.02507993578910822,-0.0765761137008667
0.07055069279887624,170.86890083493952,161.16941666811695,-0.025301873683929443,-0.07707789540290838
0.07097707937014346,170.92606905590625,161.06447284681641,-0.025670051574707087,-0.07750311493873602
0.07076437412668307,170.942718281095,161.03503385046943,-0.026057839393615778,-0.0777755081653595
