hand_clasp_distance,ear_level_y_diff,left_hand_shoulder_x_diff,right_hand_shoulder_x_diff,left_Lhand_y_diff,left_Rhand_y_diff,right_Lhand_y_diff,right_Rhand_y_diff
0.05756880717580368,0.021210342645645197,0.03099656105041504,0.004628539085388184,0.10620683431625366,0.09181058406829834,0.07362484931945801,0.059228599071502686
0.056390694942171374,0.022024452686309814,0.030994117259979248,0.007250010967254639,0.11035031080245972,0.09713482856750488,0.07692790031433105,0.06371241807937622
0.05620228735308505,0.021726965904235895,0.03351163864135742,0.005884528160095159,0.11029225587844849,0.09722346067428589,0.08149808645248413,0.06842929124832153
0.0527061677180671,0.024587154388427734,0.034974873065948486,0.006122469902038574,0.10780161619186401,0.09690690040588379,0.07555204629898071,0.06465733051300049
0.05927852820807463,0.02596995234489441,0.025960147380828857,0.0059528648853302,0.10630303621292114,0.09690457582473755,0.07485812902450562,0.06545966863632202
0.06060063998686271,0.0277118980884552,0.025414228439331055,0.0061352550983428955,0.10682493448257446,0.09887409210205078,0.07788300514221191,0.06993216276168823
0.0589796478057107,0.028750181198120173,0.02735602855682373,0.006554156541824396,0.1073601245880127,0.09949308633804321,0.07807886600494385,0.07021182775497437
0.05861591981668218,0.030267715454101618,0.027200043201446533,0.006417840719223078,0.10612642765045166,0.09843766689300537,0.07765811681747437,0.06996935606002808
0.05830383307789482,0.03102344274520874,0.027353346347808838,0.005455255508422907,0.104053795337677,0.09653282165527344,0.07782667875289917,0.0703057050704956
0.058227556120431054,0.03245905041694647,0.027245163917541504,0.005864977836608887,0.09731215238571167,0.0904771089553833,0.07623904943466187,0.0694040060043335
0.058876931354344825,0.03169137239456177,0.027173519134521484,0.0044945478439331055,0.09570658206939697,0.08953529596328735,0.07852280139923096,0.07235151529312134
0.05915039956438312,0.031239688396453913,0.02629321813583374,0.004450947046279907,0.08814996480941772,0.08258175849914551,0.07709461450576782,0.0715264081954956
0.05967674015925149,0.031149297952651978,0.02581411600112915,0.004400432109832819,0.08838486671447754,0.08315962553024292,0.07676559686660767,0.07154035568237305
0.059510390522585485,0.031055599451065063,0.025474607944488525,0.004120647907257025,0.08801960945129395,0.08340847492218018,0.07601696252822876,0.07140582799911499
0.05948715218805258,0.031042218208313044,0.024783790111541748,0.003881514072418213,0.08952909708023071,0.08503270149230957,0.07558900117874146,0.07109260559082031
