left_eye_level_diff,left_shoulder_level_diff
-0.055997371673583984,-0.16442883014678955
-0.05675297975540161,-0.16393885016441345
-0.05704346299171448,-0.1634268760681153
-0.057517170906066895,-0.1628141701221466
-0.057696223258972223,-0.16266745328903204
-0.05849221348762507,-0.1589654684066773
-0.05890458822250366,-0.15686434507369995
-0.0588540136814118,-0.1546514630317688
-0.05898663401603704,-0.1530181467533112
-0.060062855482101496,-0.1523785293102265
-0.0600341260433197,-0.1470531821250916
-0.06002017855644226,-0.13950404524803162
-0.060362935066223145,-0.13979586958885198
-0.06035223603248602,-0.14019525051116943
-0.060200333595275934,-0.13982254266738897
-0.06216993927955622,-0.13980144262313843
-0.06297227740287781,-0.14011341333389288
-0.06415045261383057,-0.1412301361560822
-0.06411781907081598,-0.14130669832229614
-0.06290560960769659,-0.14132982492446905
-0.06182539463043213,-0.1425305306911469
-0.06095892190933222,-0.1433964371681214
-0.06098651885986334,-0.14312019944190985
-0.06097599864006048,-0.1428302824497223
-0.06115660071372986,-0.1427824199199676
-0.061229526996612604,-0.1424692273139953
-0.060833960771560724,-0.1419661939144134
-0.061006247997283936,-0.14170762896537786
-0.061013966798782404,-0.1414940357208252
-0.06101366877555853,-0.1397000253200531
-0.0606908798217774,-0.13795912265777593
-0.06065720319747919,-0.13711515069007874
-0.061022788286209106,-0.1364434957504273
-0.061062842607498224,-0.13645735383033752
-0.06081685423851019,-0.13605710864067078
-0.06088745594024658,-0.13594245910644537
-0.06104478240013117,-0.1358260810375213
-0.06162065267562866,-0.13571912050247192
-0.0623130202293396,-0.13567659258842468
-0.06374838948249811,-0.13674825429916387
-0.06404310464859009,-0.13683617115020752
-0.06494632363319397,-0.13759243488311768
-0.06578201055526733,-0.1389638781547547
-0.06628704071044927,-0.13949242234230042
-0.06643685698509222,-0.13963192701339722
-0.0664238035678863,-0.13921451568603516
-0.0664199590682984,-0.1391166746616363
-0.06647586822509771,-0.1391310691833496
-0.0665082335472107,-0.13875675201416016
-0.06660065054893494,-0.13869103789329523
-0.06668895483016968,-0.13871687650680542
-0.06682196259498602,-0.13856789469718933
-0.06761980056762701,-0.1387612223625183
-0.0681715607643128,-0.138885349035263
-0.06884515285491949,-0.13838493824005127
-0.06772676110267639,-0.13711687922477722
-0.06691229343414301,-0.1357996165752411
-0.06538230180740356,-0.13504511117935175
-0.06399670243263239,-0.13451126217842102
-0.0629989504814148,-0.1339019238948822
-0.061592251062393244,-0.13385248184204102
-0.06031271815299982,-0.13386556506156916
-0.0586115419864654,-0.13466578722000122
-0.0586323738098144,-0.13598710298538208
-0.0583266019821167,-0.1361073553562165
-0.058669924736023005,-0.13616630434989935
-0.05825376510620117,-0.13660156726837164
-0.057859510183334295,-0.13705751299858093
-0.058037340641021784,-0.1385815143585205
-0.05950024724006653,-0.14037513732910162
-0.0601620078086853,-0.1414689719676972
-0.05898794531822199,-0.1417424380779267
-0.05801081657409668,-0.14042824506759644
-0.05675631761550903,-0.1393536627292633
-0.054902881383895874,-0.1388062834739685
-0.05483651161193853,-0.13918831944465637
-0.054998099803924505,-0.14047726988792425
-0.054824382066726685,-0.14045089483261114
-0.0529845654964447,-0.14017549157142645
-0.052265942096710205,-0.14014378190040588
-0.05200037360191351,-0.13986054062843328
-0.05140972137451172,-0.13955312967300415
-0.051329016685485895,-0.14025908708572388
-0.05138653516769409,-0.14030075073242193
-0.05122458934783941,-0.1401973962783813
-0.0509327650070191,-0.13975533843040472
-0.050766885280609186,-0.13935327529907227
