right_eye_level_diff,right_shoulder_level_diff
-0.040511369705200195,-0.11924415826797485
-0.04588800668716425,-0.12195760011672974
-0.046279132366180475,-0.11027505993843084
-0.046319782733917236,-0.09918445348739618
-0.045196145772933904,-0.0989436805248261
-0.044297248125076294,-0.09874311089515692
-0.04264259338378901,-0.09870517253875738
-0.04199659824371338,-0.09638944268226629
-0.042169779539108276,-0.09538793563842779
-0.042085051536560114,-0.09553274512290949
-0.041960507631301935,-0.09478399157524109
-0.04228043556213379,-0.09558320045471191
-0.042778015136718806,-0.09716960787773132
-0.04278290271759039,-0.09799978137016291
-0.04280644655227661,-0.0983157753944397
-0.04289218783378601,-0.09842747449874883
-0.042841821908950806,-0.09839850664138794
-0.042777180671691895,-0.09842109680175776
-0.04269605875015259,-0.0990394651889801
-0.042514413595199585,-0.09890362620353699
-0.04221579432487493,-0.09829553961753851
-0.042080491781234686,-0.09680724143981928
-0.041981905698776245,-0.096353828907013
-0.041798174381256104,-0.09594747424125671
-0.04158565402030939,-0.0961935818195343
-0.0416090190410614,-0.09741687774658209
-0.041614830493927,-0.09792178869247442
-0.04099509119987482,-0.09840291738510132
-0.04043138027191168,-0.09926426410675049
-0.040374100208282526,-0.100272536277771
-0.0402829647064209,-0.10207334160804743
-0.040550410747528076,-0.10471785068511968
-0.04090133309364319,-0.10713189840316772
-0.04199135303497309,-0.1111412644386291
-0.04274857044219971,-0.11355277895927424
-0.04334831237792963,-0.1158290803432464
-0.04387915134429937,-0.1169543862342835
-0.04407313466072077,-0.11757376790046692
-0.044216424226760864,-0.1175449788570404
-0.044649183750152616,-0.11748060584068304
-0.045337423682212885,-0.11772304773330688
-0.045172482728958185,-0.11740922927856445
-0.04445654153823858,-0.11626625061035162
-0.04355415701866147,-0.11645001173019415
-0.04344615340232852,-0.11674684286117548
-0.04318982362747198,-0.11680582165718079
-0.0430841445922851,-0.11695972084999079
-0.042757287621498136,-0.11688011884689331
-0.04211674630641943,-0.11594390869140625
-0.041977047920226995,-0.11536824703216553
-0.04203192889690402,-0.11457771062850952
-0.042337521910667475,-0.11403310298919683
-0.04221050441265112,-0.11305046081542969
-0.04188755154609683,-0.1125895082950592
-0.040807187557220514,-0.1116070449352265
-0.04171355068683627,-0.11267700791358953
-0.04176945984363559,-0.11409011483192438
-0.04209150373935697,-0.1160082221031189
-0.041958823800087,-0.1161389946937561
-0.04135173559188848,-0.1164584755897522
-0.041253194212913485,-0.11651459336280817
-0.04130741953849801,-0.11642065644264216
-0.04117636382579798,-0.11623728275299067
-0.04111075401306158,-0.117145836353302
-0.04107348620891568,-0.11885794997215271
-0.040685221552848816,-0.11977493762969971
-0.03864413499832153,-0.1181142926216125
-0.03813672065734869,-0.11576902866363531
-0.0374489426612854,-0.11465531587600708
-0.037030756473541315,-0.1135085523128509
-0.036950826644897405,-0.11166760325431818
-0.03666004538536072,-0.1085378229618073
-0.0364582240581513,-0.10597211122512817
-0.03640666604042059,-0.10276642441749573
-0.035949885845184326,-0.09626361727714539
-0.0353091955184936,-0.08823943138122559
-0.03481996059417719,-0.08267015218734741
-0.03227376937866211,-0.07576331496238708
