frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22
0,0.5044046640396118,0.37097543478012085,-0.5516936779022217,0.5184183716773987,0.33536356687545776,-0.5158982872962952,0.5272149443626404,0.3354794681072235,-0.5157588720321655,0.5326412916183472,0.3361321687698364,-0.5154184103012085,0.49190935492515564,0.3367605209350586,-0.5064048171043396,0.4829525649547577,0.33740222454071045,-0.5064327120780945,0.47626200318336487,0.3389643430709839,-0.5063872337341309,0.5448824167251587,0.35615867376327515,-0.2963137626647949,0.4694466292858124,0.3630000352859497,-0.24654313921928406,0.5215814113616943,0.41505903005599976,-0.47515323758125305,0.4876337945461273,0.4153231382369995,-0.461615651845932,0.6035938262939453,0.5967727899551392,-0.15462137758731842,0.41224420070648193,0.5834988355636597,-0.09784065932035446,0.7213655710220337,0.8146857023239136,-0.29779160022735596,0.31977295875549316,0.8085823655128479,-0.2580494284629822,0.7781044244766235,0.5814002752304077,-0.6128673553466797,0.250603049993515,0.6086369752883911,-0.6568494439125061,0.7954528331756592,0.5139452219009399,-0.6629956960678101,0.23272570967674255,0.5518256425857544,-0.7142280340194702,0.7820180058479309,0.49037525057792664,-0.6525837182998657,0.24239757657051086,0.524139940738678,-0.7076074481010437,0.7740142345428467,0.5080389380455017,-0.6189932227134705,0.2516276240348816,0.545122504234314,-0.6680598258972168
1,0.5028756260871887,0.3709825277328491,-0.5300754904747009,0.5176845192909241,0.33552953600883484,-0.49660220742225647,0.526734471321106,0.33564674854278564,-0.49647629261016846,0.5324152112007141,0.33619341254234314,-0.49615296721458435,0.4908657968044281,0.3371199369430542,-0.4853373169898987,0.48188769817352295,0.3380246162414551,-0.4853416681289673,0.47546833753585815,0.3393331468105316,-0.4853160083293915,0.5448560118675232,0.3563307821750641,-0.28730475902557373,0.46909573674201965,0.3630572557449341,-0.23004582524299622,0.5203507542610168,0.4149846136569977,-0.45755302906036377,0.48615992069244385,0.4148753881454468,-0.4416539669036865,0.6036939024925232,0.5968029499053955,-0.1484951674938202,0.41223105788230896,0.583461582660675,-0.08425925672054291,0.7208431959152222,0.8146765232086182,-0.2911578118801117,0.31976938247680664,0.8084675073623657,-0.23171360790729523,0.7780988216400146,0.581419050693512,-0.6110453605651855,0.25075069069862366,0.6089614629745483,-0.6089168787002563,0.7957954406738281,0.5141286253929138,-0.6614460349082947,0.2326536625623703,0.551970899105072,-0.6628617644309998,0.7826234102249146,0.4902215301990509,-0.6519570350646973,0.24212400615215302,0.5246978998184204,-0.6560751795768738,0.774463951587677,0.5080623030662537,-0.6176432371139526,0.2515859603881836,0.5456801056861877,-0.6196459531784058
2,0.5020040273666382,0.3709654211997986,-0.5240516662597656,0.5171454548835754,0.3355764150619507,-0.49062198400497437,0.5263458490371704,0.3356897234916687,-0.4904899299144745,0.5322204232215881,0.3361952602863312,-0.4901602268218994,0.49021613597869873,0.33730268478393555,-0.47920793294906616,0.4812414348125458,0.3383847177028656,-0.4792097210884094,0.4749903082847595,0.3395605981349945,-0.4791775643825531,0.5447671413421631,0.3563339412212372,-0.2826272249221802,0.46882084012031555,0.3630843162536621,-0.22435526549816132,0.5196185111999512,0.4148027300834656,-0.45199474692344666,0.48536503314971924,0.4143695831298828,-0.4359024465084076,0.6037427186965942,0.5968037247657776,-0.14374470710754395,0.4121987819671631,0.5832920074462891,-0.08151033520698547,0.71995609998703,0.8149062395095825,-0.28564146161079407,0.3197730481624603,0.8084635138511658,-0.23294414579868317,0.7780687212944031,0.5815587639808655,-0.6094874143600464,0.2508390545845032,0.6093291640281677,-0.6135022044181824,0.7959872484207153,0.514611542224884,-0.6600347757339478,0.2325890213251114,0.5523061156272888,-0.6688452959060669,0.7829248309135437,0.490207314491272,-0.6516563892364502,0.2419460117816925,0.5254457592964172,-0.6610875129699707,0.7746781706809998,0.5081666111946106,-0.6166563034057617,0.25156113505363464,0.5463013052940369,-0.6240294575691223
3,0.5012048482894897,0.37097877264022827,-0.5248937606811523,0.5167504549026489,0.33570221066474915,-0.49153396487236023,0.5260911583900452,0.3358036279678345,-0.4914042055606842,0.5320958495140076,0.33623379468917847,-0.49107614159584045,0.489562064409256,0.3375234007835388,-0.479950487613678,0.48057785630226135,0.33871787786483765,-0.47996172308921814,0.4744656980037689,0.33976954221725464,-0.47993776202201843,0.544747531414032,0.3563605844974518,-0.28311455249786377,0.46842971444129944,0.36311107873916626,-0.2240440547466278,0.5189492106437683,0.4147469401359558,-0.4525235593318939,0.48452457785606384,0.4140893220901489,-0.43615761399269104,0.6037415266036987,0.596824049949646,-0.14419996738433838,0.4121158719062805,0.5831171274185181,-0.07986735552549362,0.7195228338241577,0.8149827718734741,-0.295254111289978,0.3198050260543823,0.8085097074508667,-0.23098935186862946,0.7780594825744629,0.5817941427230835,-0.6367224454879761,0.2508447766304016,0.6098464727401733,-0.6110621094703674,0.7962572574615479,0.5149104595184326,-0.6901257038116455,0.2323683500289917,0.5525752902030945,-0.6657430529594421,0.7832399606704712,0.49018609523773193,-0.6815890669822693,0.2415618598461151,0.5259999632835388,-0.6577786803245544,0.7749570608139038,0.508210301399231,-0.6439841389656067,0.2513916790485382,0.5468159914016724,-0.6212621927261353
4,0.5007636547088623,0.3710172772407532,-0.5278027057647705,0.5164812207221985,0.33579811453819275,-0.4938407838344574,0.5258884429931641,0.33588042855262756,-0.4937087297439575,0.5319725871086121,0.33624693751335144,-0.4933728575706482,0.4891536235809326,0.33767974376678467,-0.4827699363231659,0.48016357421875,0.33894044160842896,-0.4827836751937866,0.47412869334220886,0.339898020029068,-0.4827539920806885,0.5446567535400391,0.35635438561439514,-0.2859232425689697,0.46818262338638306,0.3631243407726288,-0.22517454624176025,0.5185569524765015,0.4147006571292877,-0.4544823467731476,0.48407483100891113,0.41391804814338684,-0.43881040811538696,0.6037386059761047,0.5967820286750793,-0.14667117595672607,0.4121139943599701,0.5829169750213623,-0.08091426640748978,0.7193382382392883,0.8150417804718018,-0.29771995544433594,0.31996950507164,0.808512270450592,-0.23350206017494202,0.778041422367096,0.5817978382110596,-0.6343734860420227,0.2508465647697449,0.6108576655387878,-0.6165924668312073,0.7962969541549683,0.5151094794273376,-0.6871132254600525,0.23222579061985016,0.5533260107040405,-0.6714490652084351,0.783394992351532,0.49009519815444946,-0.6792647838592529,0.24141600728034973,0.5275123715400696,-0.6635210514068604,0.7751128673553467,0.5082101225852966,-0.6416457891464233,0.2513667643070221,0.5478935837745667,-0.627144992351532
5,0.5003955364227295,0.37097713351249695,-0.5330227613449097,0.5162693858146667,0.3358031213283539,-0.49909549951553345,0.5257161855697632,0.33588534593582153,-0.49895602464675903,0.5318710803985596,0.33624008297920227,-0.49863022565841675,0.4888363778591156,0.3377065062522888,-0.48740172386169434,0.4798412322998047,0.338984876871109,-0.487425833940506,0.4738682508468628,0.33990466594696045,-0.48741334676742554,0.5445826649665833,0.3563426733016968,-0.2903890013694763,0.46796146035194397,0.363097608089447,-0.2289339005947113,0.5181964039802551,0.4144873023033142,-0.45978137850761414,0.4836585223674774,0.4135245382785797,-0.44337326288223267,0.6036659479141235,0.5965815186500549,-0.14729133248329163,0.41203680634498596,0.5824791193008423,-0.08417347818613052,0.7192971706390381,0.8147527575492859,-0.29705291986465454,0.31998032331466675,0.8084738254547119,-0.23795665800571442,0.7780397534370422,0.581399142742157,-0.6316701173782349,0.2508729100227356,0.6113926768302917,-0.6210440397262573,0.7963424324989319,0.5149698853492737,-0.6825522184371948,0.23218511044979095,0.5537628531455994,-0.6768801808357239,0.7834902405738831,0.4893234074115753,-0.6765615344047546,0.2414027601480484,0.5281988382339478,-0.6674468517303467,0.7752076387405396,0.5075964331626892,-0.6391769647598267,0.25137656927108765,0.5484539270401001,-0.6308739185333252
6,0.4996519982814789,0.3710107207298279,-0.5353348255157471,0.5157844424247742,0.33603182435035706,-0.5019564032554626,0.5253267288208008,0.3361431956291199,-0.5018191337585449,0.5316693782806396,0.33640554547309875,-0.5014885663986206,0.48833465576171875,0.3378792107105255,-0.4894225299358368,0.47942695021629333,0.33916160464286804,-0.48944786190986633,0.47356900572776794,0.3399873375892639,-0.48943933844566345,0.5443598628044128,0.35640308260917664,-0.29365378618240356,0.4677095115184784,0.3631138205528259,-0.2293337732553482,0.517495334148407,0.4144577383995056,-0.4624168872833252,0.4830547869205475,0.4133512079715729,-0.44493743777275085,0.603477418422699,0.5963613390922546,-0.15015755593776703,0.411997526884079,0.5822728276252747,-0.08474469184875488,0.7192687392234802,0.8142920136451721,-0.2993067502975464,0.32029885053634644,0.808476448059082,-0.23753555119037628,0.7779532670974731,0.5809929370880127,-0.6305622458457947,0.2508751451969147,0.612044095993042,-0.6219335794448853,0.7963778972625732,0.5147586464881897,-0.6819823384284973,0.23214247822761536,0.554348349571228,-0.6776627898216248,0.7835179567337036,0.48849499225616455,-0.6750251650810242,0.2413632720708847,0.5291787385940552,-0.6697384119033813,0.7752174139022827,0.5066584348678589,-0.6378622055053711,0.2513575255870819,0.5492208003997803,-0.6323085427284241
7,0.49922066926956177,0.37106573581695557,-0.5304480791091919,0.5154072046279907,0.33624884486198425,-0.49767571687698364,0.525026798248291,0.3363512456417084,-0.4975511431694031,0.5315101146697998,0.3365286588668823,-0.49723130464553833,0.4878692924976349,0.33811894059181213,-0.4849330186843872,0.4790424108505249,0.3394637703895569,-0.48494911193847656,0.4732871353626251,0.34023481607437134,-0.4849388897418976,0.544153094291687,0.3564719557762146,-0.29110828042030334,0.46745941042900085,0.36328643560409546,-0.22599396109580994,0.5171400904655457,0.4144328236579895,-0.4582762122154236,0.4827462136745453,0.4132237732410431,-0.4404090344905853,0.6034543514251709,0.5962333083152771,-0.1498195081949234,0.4119904637336731,0.5822136998176575,-0.07753194123506546,0.719205915927887,0.8140170574188232,-0.3033209443092346,0.3209570646286011,0.8084682822227478,-0.22257816791534424,0.7775890827178955,0.5808754563331604,-0.6426041126251221,0.2509414255619049,0.612862229347229,-0.599129319190979,0.7963674664497375,0.5147122144699097,-0.6971105933189392,0.23213855922222137,0.5548995733261108,-0.6528675556182861,0.7835047841072083,0.4880434274673462,-0.6885977983474731,0.24136199057102203,0.5300005078315735,-0.6462560892105103,0.7751936316490173,0.506140947341919,-0.6496726870536804,0.25141504406929016,0.5500622987747192,-0.6096606254577637
8,0.4986739456653595,0.3712339699268341,-0.5285751223564148,0.5149358510971069,0.3365001976490021,-0.49585115909576416,0.5246350765228271,0.33660414814949036,-0.4957261085510254,0.5313062071800232,0.33671796321868896,-0.49540165066719055,0.48733198642730713,0.33837491273880005,-0.48339661955833435,0.4786079227924347,0.3397718071937561,-0.4834151268005371,0.4729566276073456,0.340486615896225,-0.4834067225456238,0.5439026355743408,0.3566123843193054,-0.2893053889274597,0.46714913845062256,0.3634702265262604,-0.22537124156951904,0.5167226195335388,0.41442736983299255,-0.45631444454193115,0.48230329155921936,0.41317814588546753,-0.43878045678138733,0.6033656597137451,0.5960788130760193,-0.14762873947620392,0.41198673844337463,0.5821918249130249,-0.07705066353082657,0.7191838622093201,0.8133186101913452,-0.30164438486099243,0.32146748900413513,0.8085641860961914,-0.21621982753276825,0.7769667506217957,0.579670250415802,-0.6391776204109192,0.2509750425815582,0.6139163970947266,-0.5813759565353394,0.7962654232978821,0.5142971277236938,-0.6926114559173584,0.23213514685630798,0.5554536581039429,-0.633635401725769,0.7832862734794617,0.4873824715614319,-0.6841213703155518,0.24132530391216278,0.5307620763778687,-0.6273683905601501,0.7748745679855347,0.5049564242362976,-0.646161675453186,0.25140097737312317,0.5509096384048462,-0.591789186000824
9,0.4985537827014923,0.3713260591030121,-0.5202949643135071,0.514732837677002,0.336630642414093,-0.48796752095222473,0.5244466066360474,0.33673620223999023,-0.4878466725349426,0.5311901569366455,0.33680716156959534,-0.4875272512435913,0.48708271980285645,0.3385154902935028,-0.4762043058872223,0.4783628284931183,0.33996421098709106,-0.4762217104434967,0.4727226495742798,0.3406802713871002,-0.4762079417705536,0.5436712503433228,0.3566843569278717,-0.28293249011039734,0.46672558784484863,0.363791823387146,-0.22226670384407043,0.5165706276893616,0.4144352972507477,-0.4485674798488617,0.4821632206439972,0.41316887736320496,-0.43196070194244385,0.6032848954200745,0.5960160493850708,-0.1439031958580017,0.41192397475242615,0.5821917057037354,-0.07607687264680862,0.7191393375396729,0.8131502866744995,-0.2977074086666107,0.3220929205417633,0.8085745573043823,-0.21624480187892914,0.7761929035186768,0.5795082449913025,-0.6383081674575806,0.25097817182540894,0.6148595213890076,-0.5851996541023254,0.7959277629852295,0.5142137408256531,-0.6915038824081421,0.2321329414844513,0.5560945868492126,-0.6384824514389038,0.7829216122627258,0.4872666001319885,-0.6828889846801758,0.24128632247447968,0.531493604183197,-0.6328717470169067,0.774416446685791,0.5049429535865784,-0.6456217765808105,0.25135043263435364,0.5516786575317383,-0.5959920883178711
