feature,mean,std,min,max,count
left_elbow_angle,71.2301926674494,35.21333127554292,6.466187401592379,179.62786544972226,697
right_elbow_angle,65.81094773431106,35.55820694577447,26.241822339362106,179.99489792219396,697
left_Lhand_y_alignment,0.125519541277947,0.12419600985256288,-0.0044255852699279785,0.6253880858421326,697
left_Rhand_y_alignment,0.11260406965846824,0.12487584922815864,0.05217105150222778,0.6796467304229739,697
right_Lhand_y_alignment,0.1283008798294122,0.11793173156058666,-0.007172524929046631,0.6092679500579836,697
right_Rhand_y_alignment,0.11538540820993344,0.12142461040122983,0.021860182285308838,0.6609710454940796,697
left_Lhand_x_alignment,0.11589681388144855,0.29310944048796345,-0.198299914598465,0.4438746571540833,697
left_Rhand_x_alignment,-0.04756148777356962,0.09630131959950887,-0.4602460563182831,0.14533731341362,697
right_Lhand_x_alignment,0.06833532610787894,0.2845712125828094,-0.2037784159183502,0.41220599412918096,697
right_Rhand_x_alignment,-0.1641506908442745,0.27967357088247313,-0.434601753950119,0.17387175559997559,697
estimated_aspect_ratio,0.6376491990656598,0.0,0.6376491990656598,0.6376491990656598,697
x_coordinate_range,0.6968423277139664,0.0,0.1512830108404159,0.8481253385543823,697
y_coordinate_range,1.092830240726471,0.0,0.3127233386039734,1.4055535793304443,697
