hand_clasp_distance,left_arm_angle,right_arm_angle,left_hand_y_alignment,right_hand_y_alignment,eye_level_diff,shoulder_level_diff,left_eye_level_diff_positive,left_shoulder_level_diff_positive,left_all_pass
0.07194313818447194,167.6410971827188,161.19379765105973,0.17237302660942078,0.21100395172834402,0.014956384897232056,0.06842675805091858,True,True,True
0.07152935977763024,167.9787905867549,161.14165897669852,0.17256452143192297,0.2096417471766472,0.015612304210662897,0.0687906444072724,True,True,True
0.07098073447547783,168.56792096480493,160.63370189418475,0.1720691174268722,0.20723148435354233,0.01611649990081787,0.0694742500782013,True,True,True
0.06992084108253602,169.01038077345905,160.4172865066772,0.1710688918828965,0.2047366052865983,0.016386449337005615,0.06999465823173517,True,True,True
0.06894794323503722,169.4195957452284,160.29214743889645,0.1698131114244461,0.2022779062390328,0.0167657732963562,0.07085800170898432,True,True,True
0.06937869561236414,169.68586822731194,160.06265493381352,0.16641803085803988,0.1991999968886376,0.017227381467819214,0.07165387272834783,True,True,True
0.06990160097377607,170.08073426172515,159.59172747722172,0.16368763148784643,0.1969113647937774,0.01784366369247442,0.07232645153999329,True,True,True
0.07088976877553865,170.28535593351,159.158931371635,0.16108356416225442,0.19508308917284017,0.01832669973373413,0.07296332716941839,True,True,True
0.07196806560547533,170.5588294340068,159.03189925829068,0.1585389822721482,0.1937202960252762,0.018481254577636774,0.07351070642471313,True,True,True
0.07196313980938333,170.72382567220535,159.37513442772908,0.15833829343318942,0.19296611100435263,0.019495606422424316,0.07408401370048523,True,True,True
0.07207976226586266,170.79545917441177,159.52329175108437,0.1587926298379898,0.19279426336288452,0.0205918550491333,0.0743804275989533,True,True,True
0.07223865993580846,170.96195011556156,159.9930004875563,0.1582720130681991,0.1923854351043701,0.021205097436904907,0.07482436299324036,True,True,True
0.07231717274372362,171.09589874052293,160.2725970325905,0.1579794436693191,0.1921500936150551,0.021519124507903997,0.07501739263534551,True,True,True
0.07248070212481611,171.14616391137386,160.36688708960253,0.15813906490802768,0.19207406044006348,0.02201095223426819,0.07540902495384216,True,True,True
