left_elbow_angle,right_elbow_angle,left_Lhand_y_alignment,left_Rhand_y_alignment,right_Lhand_y_alignment,right_Rhand_y_alignment,left_Lhand_x_alignment,left_Rhand_x_alignment,right_Lhand_x_alignment,right_Rhand_x_alignment,left_left_elbow_angle_negative,left_right_elbow_angle_negative,left_left_Lhand_y_alignment_interval,left_left_Rhand_y_alignment_interval,left_left_Lhand_x_alignment_negative,left_left_Rhand_x_alignment_positive,left_all_pass
85.30119716458157,9.282349958290538,0.03583604097366333,-0.0027352571487426758,0.050596654415130615,0.01202535629272461,-0.1078419685363769,0.05947345495223999,-0.04836851358413691,-0.36990904808044434,True,False,False,True,True,True,False
78.50248866175752,52.35415394030015,0.0670655369758606,0.036606550216674805,0.08641386032104492,0.05595487356185913,-0.03581047058105469,-0.13441821932792664,-0.17022868990898132,-0.49134364724159246,True,False,False,False,True,False,False
86.43389962960347,39.74298922298149,0.06171911954879761,0.03117692470550537,0.0828859806060791,0.052343785762786865,-0.09167665243148804,-0.04913797974586487,-0.1408146321773529,-0.4620273113250733,True,False,False,False,True,False,False
98.80034982631227,36.18524010244401,0.058135390281677246,0.02613598108291626,0.08100366592407227,0.04900425672531128,-0.1230210959911347,-0.007954448461532537,-0.13097554445266724,-0.45247864723205566,True,False,False,True,True,False,False
105.21492565485111,36.40961844039569,0.05604451894760132,0.024703502655029297,0.0789983868598938,0.04765737056732178,-0.15118077397346497,0.02943220734596247,-0.1217485666275025,-0.44092404842376715,False,False,False,True,True,True,False
108.23986329363804,30.525018646247585,0.05482745170593262,0.023985564708709717,0.07773852348327637,0.04689663648605347,-0.1636178195476532,0.05510425567626953,-0.10851356387138367,-0.42598092555999756,False,False,False,True,True,True,False
107.4487070414293,38.60729867379746,0.05385226011276245,0.04319930076599121,0.07645183801651001,0.06579887866973877,-0.15672904253005987,0.027749121189117487,-0.12897992134094238,-0.4454208314418793,False,False,False,False,True,True,False
106.7998423509589,48.85898418597606,0.053749024868011475,0.05007171630859375,0.07602053880691528,0.07234323024749756,-0.15253275632858282,-0.0006189942359923761,-0.1531517505645752,-0.4692355990409851,False,False,False,False,True,False,False
106.30234136986296,44.41510162032443,0.046285152435302734,0.049992144107818604,0.06812453269958496,0.07183152437210083,-0.14787408709526056,0.000402301549911499,-0.14747178554534907,-0.4635639190673828,False,False,False,False,True,False,False
104.75428020741992,39.7787256818374,0.04205566644668579,0.041735827922821045,0.06325596570968628,0.06293612718582153,-0.1423485279083252,0.0033255815505982,-0.139022946357727,-0.45583873987197876,False,False,False,False,True,False,False
104.08872590623002,32.57427656184399,0.038774967193603516,0.02995699644088745,0.05966848134994507,0.050850510597229004,-0.14079314470291143,0.0172002911567688,-0.12359285354614263,-0.44146725535392767,False,False,False,True,True,True,False
104.23394618827454,31.716829863752302,0.037279605865478516,0.027993857860565186,0.05759066343307495,0.04830491542816162,-0.1380622684955597,0.017367124557495117,-0.12069514393806458,-0.4401662945747376,False,False,False,True,True,True,False
102.9453482937521,28.005716016848076,0.033942580223083496,0.02481144666671753,0.053706467151641846,0.04457533359527588,-0.13558673858642578,0.02464625239372259,-0.11094048619270319,-0.43121835589408875,False,False,False,True,True,True,False
100.7824695237173,24.72109660192432,0.03273022174835205,0.0191880464553833,0.052266478538513184,0.038724303245544434,-0.13328871130943298,0.029653429985046387,-0.1036352813243866,-0.4249643683433533,False,False,False,True,True,True,False
96.79984713159146,23.43263547165422,0.03331369161605835,0.015415608882904053,0.05264824628829956,0.034750163555145264,-0.1303400695323944,0.03074905276298523,-0.09959101676940918,-0.42254811525344854,True,False,False,True,True,True,False
94.16096822474614,21.537848923003054,0.03429603576660156,0.013202309608459473,0.05324214696884155,0.03214842081069946,-0.1285674273967743,0.033899545669555664,-0.09466788172721863,-0.417587697505951,True,False,False,True,True,True,False
93.7745392166056,19.355954259141214,0.034485042095184326,0.007654666900634766,0.05348920822143555,0.026658833026885986,-0.13014370203018188,0.04456943273544317,-0.08557426929473871,-0.4084349274635315,True,False,False,True,True,True,False
94.71726466778199,12.935694086411408,0.03446072340011597,0.004133343696594238,0.053085386753082275,0.022758007049560547,-0.14437717199325567,0.0829476416110993,-0.06142953038215637,-0.38402092456817627,True,False,False,True,True,True,False
96.97893938490925,12.903987501319358,0.028348028659820557,0.002051234245300293,0.04674732685089111,0.02045053243637085,-0.15066435933113098,0.09056845307350159,-0.060095906257629395,-0.38379293680191046,True,False,True,True,True,True,False
97.23764259197615,12.903196110060351,0.02212744951248169,-0.0016269683837890625,0.039854586124420166,0.016100168228149414,-0.1527303159236908,0.0944355428218841,-0.058294773101806696,-0.38257390260696417,True,False,True,True,True,True,False
96.67721160237102,11.578902232541028,0.01879042387008667,-0.004329085350036621,0.036015868186950684,0.012896358966827393,-0.1551198959350586,0.1028893887996673,-0.05223050713539129,-0.375144511461258,True,False,True,True,True,True,False
97.39883414085065,13.235166761477085,0.017859995365142822,-0.004306375980377197,0.034819960594177246,0.012653589248657227,-0.16190186142921448,0.1052294373512268,-0.05667242407798767,-0.37806254625320435,True,False,True,True,True,True,False
95.83956838334566,16.56792291730147,0.018713295459747314,-0.006732463836669922,0.036201417446136475,0.010755658149719238,-0.16028612852096552,0.0916515588760376,-0.06863456964492792,-0.38903719186782837,True,False,True,True,True,True,False
98.05779346964405,24.4969595103944,0.017366647720336914,-0.004727780818939209,0.03445965051651001,0.012365221977233887,-0.16298043727874756,0.06942334771156305,-0.0935570895671845,-0.41187441349029547,True,False,True,True,True,True,False
