feature,mean,std,min,max,count
hand_clasp_distance,0.07099266173082838,0.001610663943811119,0.06812812758898652,0.07492499478173818,90
left_arm_angle,169.67282117258205,0.9197155585191534,167.6410971827188,171.2139507790429,90
right_arm_angle,161.6235559330707,0.899823656567912,159.03189925829068,163.0354091905531,90
left_hand_y_alignment,0.16113565365473428,0.0032388290712040365,0.15563184022903442,0.17256452143192297,90
right_hand_y_alignment,0.18927290712793668,0.005122837221644451,0.185322567820549,0.21100395172834402,90
eye_level_diff,0.0267616801791721,0.004016161374378553,0.014956384897232056,0.029874980449676514,90
shoulder_level_diff,0.08234365317556593,0.005682255476696727,0.06842675805091858,0.08868223428726191,90
estimated_aspect_ratio,0.5195139844345437,0.0,0.5195139844345437,0.5195139844345437,90
x_coordinate_range,0.18553060293197632,0.0,0.4995573163032532,0.6850879192352295,90
y_coordinate_range,0.35712340474128723,0.0,0.0992552042007446,0.4563786089420318,90
