feature,mean,std,min,max,count
hand_clasp_distance,0.13860973512767097,0.0052337851521198474,0.1306360575404875,0.14463267108359865,62
left_arm_angle,176.70100195601822,1.4751552700536643,174.5101892194308,178.95169699130537,62
right_arm_angle,169.5547201958275,0.9459518989201909,168.7091291936808,172.2315888002507,62
left_hand_y_alignment,0.2853594703539725,0.0066500938980553455,0.2765750586986542,0.29600074887275696,62
right_hand_y_alignment,0.22130950804679625,0.0029247946197828627,0.21581554412841797,0.2270467877388001,62
eye_level_diff,-0.034937149093997116,0.0009072184194176084,-0.03876194357872015,-0.03410729765892029,62
shoulder_level_diff,-0.13189584497482545,0.0028048171938790593,-0.13694912195205688,-0.12860536575317383,62
estimated_aspect_ratio,0.5981747558170231,0.0,0.5981747558170231,0.5981747558170231,62
x_coordinate_range,0.2871764749288559,0.0,0.2088931649923324,0.4960696399211883,62
y_coordinate_range,0.48008792102336884,0.0,0.1635732203722,0.6436611413955688,62
