feature,mean,std,min,max,count
left_elbow_angle,58.67481723314682,41.837391696517734,2.337707470581442,178.53655418225398,966
right_elbow_angle,50.315469016836914,36.786634221335625,0.19264256229670934,108.41779649245694,966
left_Lhand_y_alignment,0.04234959552253502,0.1148136770043326,-0.3392017483711244,0.4334501624107363,966
left_Rhand_y_alignment,0.04666638516244434,0.06186158585623168,-0.29745951294898987,0.3618996739387511,966
right_Lhand_y_alignment,0.04326554432542181,0.09271737929009483,-0.3766250014305116,0.41819947957992576,966
right_Rhand_y_alignment,0.04758233396533113,0.05241554547160447,-0.2593068778514862,0.3106780648231505,966
left_Lhand_x_alignment,0.10234450220321276,0.2443619286224868,-0.2431739270687104,0.6706646084785461,966
left_Rhand_x_alignment,0.06128653445846052,0.11851806635307478,-0.6130402982234955,0.3159219920635224,966
right_Lhand_x_alignment,0.16363103666167328,0.24968437667208013,-0.13698077201843262,0.5240316390991211,966
right_Rhand_x_alignment,-0.1325496007258354,0.25647637260811273,-0.4412533640861512,0.2220592498779297,966
estimated_aspect_ratio,1.0569353357116917,0.0,1.0569353357116917,1.0569353357116917,966
x_coordinate_range,1.0284676998853683,0.0,0.1500980406999588,1.1785657405853271,966
y_coordinate_range,0.9730658680200577,0.0,0.1318012326955795,1.1048671007156372,966
