left_wrist_z,right_wrist_z,head_pitch_angle,delta_head_pitch_angle,delta_left_wrist_z,delta_right_wrist_z
-0.9553000420331954,-0.9054034888744353,31.726301415847413,146.77369858415258,0.9353000420331954,0.8854034888744353
-0.7511058688163756,-0.7813289493322372,30.438835687246367,148.06116431275365,0.7311058688163756,0.7613289493322372
-1.0381799966096876,-1.041558665037155,29.005143205815838,149.49485679418416,1.0181799966096876,1.021558665037155
-0.8205144017934799,-0.7757548421621322,27.631202829543685,150.8687971704563,0.8005144017934799,0.7557548421621322
-1.0482005715370177,-1.0590251147747038,29.83709609451211,148.6629039054879,1.0282005715370177,1.0390251147747038
-0.8162286728620528,-0.8559173166751861,31.851001346044775,146.64899865395523,0.7962286728620528,0.8359173166751861
-0.9494246095418929,-1.0329691797494887,29.37648314534735,149.12351685465265,0.9294246095418929,1.0129691797494886
-0.8702341079711914,-0.9974949777126312,29.67702134878567,148.82297865121433,0.8502341079711914,0.9774949777126312
-0.8034633368253707,-0.8484885782003402,31.82275974518351,146.6772402548165,0.7834633368253707,0.8284885782003402
-0.786627024412155,-0.8196320176124572,31.71666918313806,146.78333081686193,0.766627024412155,0.7996320176124572
-0.8251312047243118,-0.8518204987049102,30.955676681718604,147.54432331828139,0.8051312047243118,0.8318204987049101
-0.9428099155426025,-0.9501060873270034,30.872496639698785,147.6275033603012,0.9228099155426025,0.9301060873270034
-0.9506931096315383,-0.9844084382057189,30.97281156776509,147.5271884322349,0.9306931096315383,0.9644084382057189
-0.8667879909276962,-0.943341553211212,30.09362040706512,148.40637959293488,0.8467879909276962,0.923341553211212
-0.821516877412796,-0.8897809773683547,30.07075935433508,148.42924064566492,0.801516877412796,0.8697809773683547
-0.9346935302019118,-0.9204095035791396,30.796447510855824,147.7035524891442,0.9146935302019118,0.9004095035791396
-0.793316227197647,-0.8754909873008727,29.61431399525247,148.88568600474753,0.773316227197647,0.8554909873008727
-0.7462410002946853,-0.8701079845428467,28.60740053341146,149.89259946658854,0.7262410002946853,0.8501079845428466
-0.7875723332166671,-0.8915166825056076,28.267360219069314,150.2326397809307,0.7675723332166671,0.8715166825056075
-0.8006558567285537,-0.8973561286926269,28.56255430127869,149.93744569872132,0.7806558567285536,0.8773561286926269
-0.8071099489927291,-0.9248507618904113,29.118328445990723,149.38167155400927,0.7871099489927291,0.9048507618904112
-0.8802280873060225,-0.9485517531633376,29.758283660400945,148.74171633959907,0.8602280873060225,0.9285517531633376
