frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0,0.5686557292938232,0.016629159450531006,-1.5125651359558105,0.6208182573318481,-0.01902139186859131,-1.4396482706069946,0.6475449204444885,-0.01852238178253174,-1.4398258924484253,0.6740024089813232,-0.017635107040405273,-1.4405096769332886,0.5362164378166199,-0.022152066230773926,-1.427555799484253,0.5051373243331909,-0.02389812469482422,-1.4274821281433105,0.4797378182411194,-0.025008559226989746,-1.4282225370407104,0.7196900844573975,-0.008935511112213135,-0.8873055577278137,0.44434720277786255,-0.011374235153198242,-0.8206885457038879,0.6108588576316833,0.055293500423431396,-1.2885257005691528,0.5150423645973206,0.054394304752349854,-1.2698413133621216,0.8946004509925842,0.17574161291122437,-0.5169056057929993,0.25393766164779663,0.14834511280059814,-0.602414071559906,0.8894671201705933,0.44376569986343384,-0.5081899762153625,0.2281133383512497,0.4078945517539978,-0.7377333641052246,0.5620734691619873,0.55670166015625,-1.093445897102356,0.5021125674247742,0.6088162660598755,-1.296184778213501,0.5119703412055969,0.6323192715644836,-1.283689260482788,0.5345317125320435,0.6990975141525269,-1.5049426555633545,0.4470813274383545,0.5913133025169373,-1.3437563180923462,0.602446436882019,0.6797710061073303,-1.5481733083724976,0.4667719006538391,0.5639209747314453,-1.1201112270355225,0.5981929302215576,0.6505917906761169,-1.3175607919692993,0.7149131894111633,0.6180208325386047,0.035277072340250015,0.364777535200119,0.6223062872886658,-0.035085760056972504,0.9624744653701782,0.9541009664535522,-0.9127947688102722,0.02842724323272705,0.9783930778503418,-0.76222163438797,0.6774243116378784,1.1629581451416016,0.6229255199432373,0.32323768734931946,1.1243880987167358,0.8014265298843384,0.6021023392677307,1.1722438335418701,0.7794893980026245,0.4011409878730774,1.1335968971252441,0.9542666673660278,0.66502845287323,1.3062303066253662,0.4240918457508087,0.32687315344810486,1.2623947858810425,0.6025118827819824
1,0.5637349486351013,0.01107829064130783,-1.4988631010055542,0.6183265447616577,-0.031332097947597504,-1.4343173503875732,0.64620441198349,-0.030585352331399918,-1.4344513416290283,0.6725817918777466,-0.02873481810092926,-1.435081958770752,0.5274519324302673,-0.030483361333608627,-1.4113811254501343,0.4994015097618103,-0.030425336211919785,-1.4114047288894653,0.4756133258342743,-0.030076608061790466,-1.4121204614639282,0.7201118469238281,-0.014753269962966442,-0.9148826003074646,0.4444260597229004,-0.014886615797877312,-0.7997520565986633,0.6108524203300476,0.049992457032203674,-1.2877802848815918,0.5100587010383606,0.05047548562288284,-1.2551945447921753,0.9037991762161255,0.1756509244441986,-0.6338809728622437,0.25385230779647827,0.15019527077674866,-0.6115087866783142,0.8881617784500122,0.44642215967178345,-0.8193680644035339,0.23197197914123535,0.42597445845603943,-0.827775239944458,0.5604336857795715,0.5568228960037231,-1.5517054796218872,0.501303493976593,0.6189645528793335,-1.386989951133728,0.5027710795402527,0.6315948367118835,-1.7839410305023193,0.5339549779891968,0.6997458934783936,-1.5895888805389404,0.440517395734787,0.576600193977356,-1.8337260484695435,0.5984276533126831,0.6797676682472229,-1.6173202991485596,0.46140560507774353,0.5575414896011353,-1.5764509439468384,0.5930367708206177,0.6505995988845825,-1.3982564210891724,0.7164355516433716,0.6310237646102905,0.032877832651138306,0.3640959560871124,0.6284775733947754,-0.032650090754032135,0.9720534682273865,0.9577926397323608,-1.3834600448608398,0.014537995681166649,0.9468935132026672,-1.0843056440353394,0.6708431243896484,1.1423486471176147,0.20332461595535278,0.28312966227531433,1.183447003364563,0.09290464967489243,0.5881019830703735,1.1382426023483276,0.36549869179725647,0.3608549237251282,1.207059621810913,0.20437881350517273,0.6446884870529175,1.287872552871704,0.08207676559686661,0.2610822916030884,1.3465932607650757,-0.1947348713874817
2,0.5603607892990112,0.011575604788959026,-1.420624852180481,0.6144091486930847,-0.031551115214824677,-1.3728137016296387,0.6431732773780823,-0.03138938546180725,-1.3728512525558472,0.668967604637146,-0.030201012268662453,-1.373410940170288,0.5212677717208862,-0.030154485255479813,-1.336515188217163,0.4951164126396179,-0.030365541577339172,-1.3365504741668701,0.4723275601863861,-0.029573962092399597,-1.3371903896331787,0.7189794778823853,-0.01827176660299301,-0.9146365523338318,0.4442560374736786,-0.014888213947415352,-0.7537776231765747,0.6108415126800537,0.04993763566017151,-1.2402962446212769,0.5080910325050354,0.05053301528096199,-1.1876389980316162,0.914735734462738,0.1747904121875763,-0.6634449362754822,0.25413647294044495,0.14992178976535797,-0.6113412380218506,0.8854973912239075,0.4496098458766937,-0.7554945945739746,0.23544080555438995,0.42692407965660095,-0.8182780146598816,0.5589460730552673,0.5568199753761292,-1.3494675159454346,0.501584529876709,0.6214510202407837,-1.329279899597168,0.503920316696167,0.6270669102668762,-1.5573617219924927,0.534525990486145,0.7001868486404419,-1.5081427097320557,0.4345141649246216,0.5675424337387085,-1.6188857555389404,0.5983884930610657,0.6800826787948608,-1.5164881944656372,0.45731261372566223,0.552649199962616,-1.3783930540084839,0.5930564999580383,0.6510037779808044,-1.328148603439331,0.7164158225059509,0.6346331834793091,0.028584543615579605,0.36219555139541626,0.6309447884559631,-0.02840920351445675,0.9758246541023254,0.9620388150215149,-1.2195237874984741,0.00937146507203579,0.9389265179634094,-1.0710816383361816,0.6795831322669983,1.1292651891708374,0.38313525915145874,0.24981805682182312,1.2021467685699463,0.3020065426826477,0.5920144319534302,1.1196544170379639,0.5431473851203918,0.328771710395813,1.2262835502624512,0.41368505358695984,0.6724143028259277,1.2792426347732544,0.33189070224761963,0.20061491429805756,1.3751237392425537,0.06371797621250153
3,0.5582042932510376,0.013380249962210655,-1.4010436534881592,0.6138156652450562,-0.031026456505060196,-1.352379322052002,0.6431993842124939,-0.03083726204931736,-1.352441668510437,0.6692524552345276,-0.02973877266049385,-1.3530080318450928,0.516625702381134,-0.030403396114706993,-1.315529465675354,0.4911960959434509,-0.03092280961573124,-1.3155388832092285,0.4687436521053314,-0.030584806576371193,-1.3161436319351196,0.7196414470672607,-0.018126972019672394,-0.9135922789573669,0.4436179995536804,-0.019386544823646545,-0.7378204464912415,0.6106696128845215,0.05181605741381645,-1.2253066301345825,0.5032957792282104,0.051824282854795456,-1.170830249786377,0.9210471510887146,0.17337237298488617,-0.6568986177444458,0.25444450974464417,0.14970743656158447,-0.593937873840332,0.8861342668533325,0.44955992698669434,-0.7294032573699951,0.2376290261745453,0.4285234808921814,-0.7714018821716309,0.5589332580566406,0.5569689869880676,-1.2881443500518799,0.5092464685440063,0.623296856880188,-1.1977463960647583,0.5010673403739929,0.6258038282394409,-1.4931957721710205,0.5433407425880432,0.7001147270202637,-1.3739392757415771,0.43355125188827515,0.5669696927070618,-1.5466445684432983,0.6034603714942932,0.6801081895828247,-1.4004254341125488,0.4566132128238678,0.5523138046264648,-1.312487006187439,0.5979006886482239,0.6513887047767639,-1.205635666847229,0.7174571752548218,0.6354462504386902,0.01687036082148552,0.36202481389045715,0.631195604801178,-0.016760870814323425,0.9755581617355347,0.9620720148086548,-1.288849115371704,0.009696763008832932,0.9437891244888306,-0.7858591675758362,0.7040595412254333,1.1848951578140259,0.08358679711818695,0.23704893887043,1.2146427631378174,0.37243571877479553,0.6175515651702881,1.1897141933441162,0.2165825068950653,0.3129348158836365,1.2408002614974976,0.4775520861148834,0.7204036116600037,1.3535465002059937,-0.11254526674747467,0.18423336744308472,1.3826892375946045,0.12049007415771484
4,0.557910680770874,0.013286987319588661,-1.4026325941085815,0.613783061504364,-0.033944349735975266,-1.3800514936447144,0.6436312198638916,-0.034155286848545074,-1.3800734281539917,0.6702020764350891,-0.03349904343485832,-1.3805617094039917,0.5147253274917603,-0.03299211710691452,-1.3291070461273193,0.4895106852054596,-0.03320300579071045,-1.32924222946167,0.46707260608673096,-0.032655805349349976,-1.3296929597854614,0.7213028073310852,-0.0221853069961071,-0.9667876958847046,0.4432786703109741,-0.02270566299557686,-0.7673117518424988,0.6122263669967651,0.0510575957596302,-1.2497692108154297,0.5023946762084961,0.05170508101582527,-1.1778011322021484,0.9259932041168213,0.16865882277488708,-0.6831257939338684,0.25439149141311646,0.14637058973312378,-0.6151472926139832,0.8863734602928162,0.44916272163391113,-0.7353041768074036,0.24412837624549866,0.43130263686180115,-0.7709438800811768,0.5589730143547058,0.5571681261062622,-1.3036991357803345,0.5093581080436707,0.6228027939796448,-1.2221739292144775,0.5012208223342896,0.6254733800888062,-1.5152994394302368,0.5435844659805298,0.6991847157478333,-1.4091798067092896,0.4336525797843933,0.5660153031349182,-1.5633987188339233,0.603326678276062,0.677936851978302,-1.4407416582107544,0.45669013261795044,0.5515317320823669,-1.324191927909851,0.5974576473236084,0.6489288210868835,-1.2338258028030396,0.7191230654716492,0.6358205080032349,0.013860833831131458,0.35956132411956787,0.6312597990036011,-0.013804301619529724,0.9766724705696106,0.9706072807312012,-1.19791841506958,0.010049286298453808,0.9444326162338257,-0.7242805361747742,0.7491268515586853,1.2194677591323853,0.2241882085800171,0.21366219222545624,1.2326520681381226,0.42523646354675293,0.670333206653595,1.2280265092849731,0.3619588315486908,0.28534504771232605,1.260451078414917,0.5348219871520996,0.7757834792137146,1.3879603147506714,0.019005857408046722,0.15865780413150787,1.4029953479766846,0.16220220923423767
5,0.5551775097846985,0.013323739171028137,-1.4902082681655884,0.6115038394927979,-0.035122957080602646,-1.4568955898284912,0.6431201696395874,-0.03535129502415657,-1.4567992687225342,0.6701505184173584,-0.03481973707675934,-1.4572749137878418,0.5103039145469666,-0.03526626527309418,-1.407854676246643,0.4855588376522064,-0.03568366542458534,-1.4080166816711426,0.4629775881767273,-0.03528362885117531,-1.408614993095398,0.7216360569000244,-0.026291197165846825,-1.0309306383132935,0.44264987111091614,-0.027459967881441116,-0.8151765465736389,0.6115620136260986,0.051118116825819016,-1.322920560836792,0.49974173307418823,0.05170105770230293,-1.2522681951522827,0.9267319440841675,0.16310112178325653,-0.7820006608963013,0.2535102367401123,0.145460307598114,-0.6821844577789307,0.886353075504303,0.44857901334762573,-0.8577284812927246,0.245564803481102,0.43215513229370117,-0.8988442420959473,0.5578555464744568,0.5570422410964966,-1.3899251222610474,0.5092970728874207,0.6224677562713623,-1.370449185371399,0.4972904324531555,0.6253289580345154,-1.59706711769104,0.5425626039505005,0.6988732814788818,-1.5581905841827393,0.43154338002204895,0.5632201433181763,-1.6510825157165527,0.602260947227478,0.6779078245162964,-1.5781606435775757,0.4546055197715759,0.5489286184310913,-1.4107232093811035,0.5973555445671082,0.6490795612335205,-1.3786728382110596,0.7203207015991211,0.6354516744613647,0.014119875617325306,0.3595743775367737,0.6310974359512329,-0.014090506359934807,0.9897162318229675,0.9688475728034973,-1.3715838193893433,0.010265945456922054,0.9257351160049438,-0.908845841884613,0.6990389227867126,1.1433387994766235,0.25345247983932495,0.21697793900966644,1.2265053987503052,0.12073547393083572,0.6060077548027039,1.1288466453552246,0.4166758358478546,0.291134238243103,1.2545764446258545,0.21478848159313202,0.6543442010879517,1.3158694505691528,0.12287187576293945,0.16405433416366577,1.4093760251998901,-0.19311784207820892
6,0.5536724328994751,0.01287153922021389,-1.4787826538085938,0.6109089851379395,-0.03714413195848465,-1.4339762926101685,0.6432617902755737,-0.03682756796479225,-1.4339611530303955,0.6709197163581848,-0.03583889454603195,-1.4345165491104126,0.5082849860191345,-0.039232414215803146,-1.3870190382003784,0.48366865515708923,-0.040071457624435425,-1.3870818614959717,0.4606390595436096,-0.04002707451581955,-1.387702226638794,0.7232493162155151,-0.02783496119081974,-0.9962144494056702,0.44142985343933105,-0.03139135241508484,-0.7625980973243713,0.6115126013755798,0.05090806633234024,-1.304136037826538,0.4969470202922821,0.05119138956069946,-1.2330909967422485,0.9262428879737854,0.16294190287590027,-0.7265056371688843,0.25190269947052,0.1454705148935318,-0.6388520002365112,0.8866071105003357,0.4486703872680664,-0.8269671201705933,0.24420779943466187,0.43720585107803345,-0.8630969524383545,0.5594491362571716,0.5581551790237427,-1.4631271362304688,0.5052552819252014,0.6221988201141357,-1.3804179430007935,0.498251736164093,0.6272072792053223,-1.6921980381011963,0.5391228199005127,0.6985058188438416,-1.5812029838562012,0.4344278573989868,0.5650403499603271,-1.7433934211730957,0.5977624654769897,0.6772804856300354,-1.6103910207748413,0.45650583505630493,0.5492178201675415,-1.4862526655197144,0.592674195766449,0.6485529541969299,-1.393971562385559,0.7206267714500427,0.6389104127883911,0.014616791158914566,0.35737642645835876,0.6338413953781128,-0.014511814340949059,0.9988240599632263,0.9694533348083496,-1.462770700454712,0.003193638287484646,0.9313918948173523,-1.0024741888046265,0.6978111863136292,1.1426717042922974,0.2011338621377945,0.22092662751674652,1.2243125438690186,0.1561916321516037,0.6024263501167297,1.1340200901031494,0.36944499611854553,0.2970575988292694,1.2526651620864868,0.2655468285083771,0.6587916016578674,1.313390851020813,0.08385881781578064,0.16974245011806488,1.4001153707504272,-0.1453082263469696
7,0.5518779158592224,0.012135887518525124,-1.481290340423584,0.6094238758087158,-0.040650688111782074,-1.4336062669754028,0.6432095766067505,-0.04002877324819565,-1.43363356590271,0.6710588335990906,-0.03866282477974892,-1.4342200756072998,0.5063969492912292,-0.04237275570631027,-1.3871930837631226,0.4819101095199585,-0.04299437999725342,-1.3872548341751099,0.45852211117744446,-0.0428035743534565,-1.3878729343414307,0.7238898277282715,-0.030666494742035866,-0.9823532700538635,0.44073623418807983,-0.03427352383732796,-0.7539533972740173,0.611522912979126,0.05016595125198364,-1.3015680313110352,0.4951116442680359,0.05069452524185181,-1.2332910299301147,0.9294058680534363,0.16187968850135803,-0.7005919218063354,0.2515919506549835,0.14547277987003326,-0.6098925471305847,0.889430820941925,0.44854816794395447,-0.8169898390769958,0.24345766007900238,0.43744760751724243,-0.8488293290138245,0.5608168840408325,0.5590622425079346,-1.4729992151260376,0.5020647048950195,0.6229637861251831,-1.3842469453811646,0.49847182631492615,0.6278764605522156,-1.7053956985473633,0.5372791290283203,0.6990656852722168,-1.5913712978363037,0.43779972195625305,0.5681905150413513,-1.7565999031066895,0.5953847765922546,0.6777690052986145,-1.6283557415008545,0.4591635763645172,0.5506232976913452,-1.4963443279266357,0.5900606513023376,0.6493685245513916,-1.402661681175232,0.7212552428245544,0.6402080655097961,0.015050511807203293,0.3558275103569031,0.6352121233940125,-0.014912555925548077,0.9976851344108582,0.9714401960372925,-1.447817325592041,0.0010378077859058976,0.9399704933166504,-0.899359405040741,0.7217349410057068,1.1498913764953613,0.18665194511413574,0.22592328488826752,1.2177146673202515,0.4129655957221985,0.6318293213844299,1.145354986190796,0.3510216474533081,0.30292394757270813,1.2441723346710205,0.5416380167007446,0.7098059058189392,1.3262932300567627,0.017953014001250267,0.17152348160743713,1.3873045444488525,0.16160322725772858
8,0.5472825169563293,0.0116054592654109,-1.5013399124145508,0.6053435206413269,-0.04380376264452934,-1.4492497444152832,0.6415683031082153,-0.04335243999958038,-1.4493712186813354,0.6708589196205139,-0.04198434203863144,-1.450046420097351,0.5046913027763367,-0.04435291513800621,-1.4047664403915405,0.4803272783756256,-0.044705506414175034,-1.404848337173462,0.4566449522972107,-0.04443763568997383,-1.4056084156036377,0.7239052653312683,-0.03140237554907799,-0.9888239502906799,0.43945151567459106,-0.0346592478454113,-0.762144923210144,0.6076338291168213,0.04975403845310211,-1.3160929679870605,0.49163785576820374,0.050471656024456024,-1.2504793405532837,0.9288480281829834,0.1620214432477951,-0.6938814520835876,0.2509385049343109,0.1448323279619217,-0.6112067103385925,0.8918200135231018,0.448411762714386,-0.7992372512817383,0.2375427633523941,0.4366336762905121,-0.8379619121551514,0.5608329176902771,0.5601710081100464,-1.414683222770691,0.49661335349082947,0.6246846318244934,-1.3185069561004639,0.49851691722869873,0.6280485391616821,-1.6355252265930176,0.5345642566680908,0.7011172771453857,-1.5124765634536743,0.4388844668865204,0.5708709955215454,-1.6915894746780396,0.5927491784095764,0.6790004372596741,-1.5540919303894043,0.45931053161621094,0.5520787835121155,-1.439217448234558,0.5871642231941223,0.6510246992111206,-1.3373394012451172,0.7213192582130432,0.6396066546440125,0.014948302879929543,0.35554444789886475,0.6341110467910767,-0.014715650118887424,1.0397791862487793,0.9740695953369141,-1.3625152111053467,0.004659639671444893,0.9414337873458862,-0.860767126083374,0.7561073303222656,1.1884840726852417,0.19359572231769562,0.20776411890983582,1.229286789894104,0.41382166743278503,0.6719980239868164,1.1998504400253296,0.3426300883293152,0.27938491106033325,1.2615957260131836,0.5436956882476807,0.775313138961792,1.3663766384124756,-0.05773170292377472,0.13645707070827484,1.3978890180587769,0.12456075847148895
9,0.5461187362670898,0.006353078875690699,-1.440583348274231,0.6022493839263916,-0.051026422530412674,-1.3803315162658691,0.6397346258163452,-0.05104951933026314,-1.38051176071167,0.670401394367218,-0.049707263708114624,-1.3812193870544434,0.5037118196487427,-0.04958726838231087,-1.3440815210342407,0.479113906621933,-0.04936864227056503,-1.3441476821899414,0.45497676730155945,-0.04854922741651535,-1.3450157642364502,0.7238606214523315,-0.03485265374183655,-0.9110059142112732,0.43714001774787903,-0.03617994487285614,-0.7168102860450745,0.606722354888916,0.04541274905204773,-1.2499898672103882,0.4899066388607025,0.048309486359357834,-1.193671703338623,0.9284264445304871,0.1607745885848999,-0.6128944158554077,0.25010573863983154,0.14450162649154663,-0.5801923871040344,0.9002456068992615,0.44587087631225586,-0.7053580284118652,0.2361609935760498,0.4366675913333893,-0.7851122617721558,0.5636382102966309,0.560360848903656,-1.2716788053512573,0.49353456497192383,0.6245201826095581,-1.2373714447021484,0.49909913539886475,0.6280901432037354,-1.4893542528152466,0.5330594182014465,0.7012780904769897,-1.4289213418960571,0.44031575322151184,0.5711435675621033,-1.5151509046554565,0.5909528732299805,0.6788037419319153,-1.4712731838226318,0.46005523204803467,0.5522782802581787,-1.2832223176956177,0.5847876071929932,0.6505552530288696,-1.255744457244873,0.7213261723518372,0.6351124048233032,0.018143679946660995,0.35553985834121704,0.6306091547012329,-0.0177784226834774,1.0578908920288086,0.9689103364944458,-1.448407530784607,0.006765931844711304,0.9224390983581543,-1.1530636548995972,0.7591391801834106,1.204716444015503,0.015151898376643658,0.18946412205696106,1.2347533702850342,-0.09289196878671646,0.6752070188522339,1.220666766166687,0.14860929548740387,0.2576746642589569,1.2720450162887573,0.0022139910142868757,0.7778540849685669,1.3837448358535767,-0.2907699942588806,0.10588116198778152,1.4047315120697021,-0.5025732517242432
