frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22
0,0.5550619959831238,0.5450294017791748,-0.6590788960456848,0.5608265399932861,0.5428264737129211,-0.6630166172981262,0.5642154812812805,0.5426883697509766,-0.6630948781967163,0.567626416683197,0.5424943566322327,-0.6632195115089417,0.5519806742668152,0.5426700711250305,-0.6656666994094849,0.5493965148925781,0.5423520803451538,-0.6657425761222839,0.5467337369918823,0.5420080423355103,-0.6658471822738647,0.5760430693626404,0.5387487411499023,-0.5749348402023315,0.5434226989746094,0.5379106998443604,-0.5846853852272034,0.5610846877098083,0.5441487431526184,-0.6133962273597717,0.5508145093917847,0.5436297059059143,-0.6159992218017578,0.6002999544143677,0.5370364785194397,-0.4261326789855957,0.5233977437019348,0.5335042476654053,-0.4433794319629669,0.6202723979949951,0.5529913306236267,-0.5173125267028809,0.48332303762435913,0.544891357421875,-0.5504895448684692,0.6380041837692261,0.5850157141685486,-0.7271506786346436,0.4976904094219208,0.5787389278411865,-0.7369017601013184,0.6474997997283936,0.5935072302818298,-0.7984024882316589,0.49188047647476196,0.589507520198822,-0.809543788433075,0.6422247886657715,0.595970869064331,-0.8043521046638489,0.5026142597198486,0.5886231064796448,-0.8205768465995789,0.6371747851371765,0.5924214720726013,-0.7380655407905579,0.5055997371673584,0.5845526456832886,-0.7485215663909912
1,0.5583476424217224,0.5456437468528748,-0.7170296907424927,0.5675433278083801,0.5427952408790588,-0.7229500412940979,0.5712810158729553,0.5426397919654846,-0.7230141162872314,0.5751241445541382,0.5424320101737976,-0.7230898141860962,0.5571832656860352,0.5426303148269653,-0.7312595844268799,0.5542181134223938,0.5423042178153992,-0.7313573956489563,0.5510193109512329,0.5419749021530151,-0.7315254807472229,0.582816481590271,0.5387372374534607,-0.6326532363891602,0.5462934970855713,0.5379135012626648,-0.6683902144432068,0.5623844861984253,0.5455049276351929,-0.6698680520057678,0.5510894060134888,0.5451129078865051,-0.6806078553199768,0.5948978662490845,0.5394381284713745,-0.46454426646232605,0.5229113698005676,0.5390141010284424,-0.4909614324569702,0.6033362150192261,0.5535523295402527,-0.4695888161659241,0.4869304597377777,0.5606814026832581,-0.4602954387664795,0.6258787512779236,0.5766759514808655,-0.5966323614120483,0.4960886240005493,0.590549111366272,-0.49449288845062256,0.6411036849021912,0.5799640417098999,-0.6533084511756897,0.4916684329509735,0.5986549258232117,-0.550155520439148,0.6352525353431702,0.5814130306243896,-0.6716298460960388,0.5024964213371277,0.5969120264053345,-0.5710244178771973,0.6272204518318176,0.5803478956222534,-0.6095390319824219,0.5056032538414001,0.5945280194282532,-0.5059669017791748
2,0.5582536458969116,0.5456368923187256,-0.8327779769897461,0.5669366121292114,0.5427322387695312,-0.8400959372520447,0.5708937644958496,0.5426418781280518,-0.840215802192688,0.5750177502632141,0.542532205581665,-0.8402671813964844,0.5565376281738281,0.5418567061424255,-0.8481168150901794,0.5537276268005371,0.5412387251853943,-0.8482625484466553,0.5509604215621948,0.5406844615936279,-0.8485291600227356,0.5843154788017273,0.5392629504203796,-0.7407143115997314,0.5459326505661011,0.5364013910293579,-0.773561954498291,0.5623429417610168,0.5461118221282959,-0.7803765535354614,0.5497276186943054,0.5450276732444763,-0.7900248169898987,0.6030476093292236,0.5425530076026917,-0.5438622236251831,0.5198345184326172,0.5381253957748413,-0.5811992883682251,0.6212118864059448,0.5677321553230286,-0.5529500246047974,0.48919904232025146,0.5563623905181885,-0.565276563167572,0.6451646089553833,0.6000385284423828,-0.7029292583465576,0.4963260889053345,0.5913097858428955,-0.6478179693222046,0.6606127023696899,0.6075220704078674,-0.7902066111564636,0.4896853268146515,0.6011884212493896,-0.6997702121734619,0.6512916088104248,0.6077391505241394,-0.8162750005722046,0.5026741027832031,0.6001030802726746,-0.6635910272598267,0.6433724164962769,0.6058509945869446,-0.7265068292617798,0.5078046321868896,0.597514271736145,-0.6506754755973816
3,0.5597009062767029,0.5473620295524597,-0.43527892231941223,0.5664288997650146,0.5457486510276794,-0.4247252643108368,0.5704017281532288,0.5454051494598389,-0.42482438683509827,0.5735675692558289,0.5450171828269958,-0.42496952414512634,0.5601773262023926,0.5462934970855713,-0.429129034280777,0.5588220953941345,0.5462756752967834,-0.4291892647743225,0.5575237274169922,0.5462040305137634,-0.4293839633464813,0.5782691836357117,0.5416926145553589,-0.30485114455223083,0.5572049021720886,0.5434083938598633,-0.3229219317436218,0.5625467896461487,0.5462891459465027,-0.3828256130218506,0.5557838678359985,0.5461283922195435,-0.3892039656639099,0.5674337148666382,0.5409470200538635,-0.18494436144828796,0.5632815957069397,0.5433234572410583,-0.1795060932636261,0.5634693503379822,0.5641862750053406,-0.20911066234111786,0.5777871608734131,0.5702996850013733,-0.21799682080745697,0.5788074731826782,0.5947660207748413,-0.28845658898353577,0.5937823057174683,0.6033538579940796,-0.2913692593574524,0.5919007062911987,0.605118989944458,-0.3179074227809906,0.5969759821891785,0.6119502782821655,-0.32412803173065186,0.5889937281608582,0.6064673662185669,-0.334612101316452,0.6045693159103394,0.6109713912010193,-0.33935752511024475,0.5832337141036987,0.6011777520179749,-0.2952527403831482,0.6021015048027039,0.6082349419593811,-0.2994895279407501
4,0.5596591234207153,0.5472229719161987,-0.3815498352050781,0.5660303235054016,0.5454661846160889,-0.37334510684013367,0.569986879825592,0.5452736020088196,-0.3734990954399109,0.5732884407043457,0.5449190139770508,-0.3736475110054016,0.559998095035553,0.5457044243812561,-0.3802352547645569,0.5584832429885864,0.5456843972206116,-0.38030806183815,0.5569489598274231,0.5456425547599792,-0.3805018663406372,0.5772270560264587,0.5413844585418701,-0.259229451417923,0.5571977496147156,0.5435621738433838,-0.289749413728714,0.5630426406860352,0.5461977124214172,-0.3300277292728424,0.5566510558128357,0.5460634231567383,-0.3398531973361969,0.5674668550491333,0.5404987335205078,-0.14598901569843292,0.5674102902412415,0.5469051599502563,-0.14273425936698914,0.5679471492767334,0.5619614124298096,-0.16260452568531036,0.5709172487258911,0.5727532505989075,-0.1597951501607895,0.5935466885566711,0.5923001170158386,-0.2509514093399048,0.5925465226173401,0.6066506505012512,-0.2225516438484192,0.6118119955062866,0.6046236157417297,-0.27922526001930237,0.5961697697639465,0.6149962544441223,-0.25417929887771606,0.6061339378356934,0.6030848622322083,-0.29669082164764404,0.6055364012718201,0.6149009466171265,-0.26931118965148926,0.5984850525856018,0.5992977619171143,-0.25802701711654663,0.6027645468711853,0.6123855710029602,-0.2294110208749771
5,0.5594647526741028,0.5459146499633789,-0.4422660768032074,0.5647353529930115,0.5437675714492798,-0.44067099690437317,0.5672512054443359,0.5433549880981445,-0.440774530172348,0.5692502856254578,0.5428235530853271,-0.4409307837486267,0.5593047738075256,0.545035183429718,-0.44639426469802856,0.5577448606491089,0.5454187989234924,-0.4465433657169342,0.5562496781349182,0.5454705357551575,-0.446775883436203,0.5716592669487,0.5401594638824463,-0.33950403332710266,0.5563656687736511,0.5426536798477173,-0.36463403701782227,0.5626351833343506,0.5448243618011475,-0.3932371437549591,0.5563216805458069,0.5454452633857727,-0.4014522433280945,0.5627906918525696,0.5362311601638794,-0.2135722041130066,0.5661342144012451,0.546618640422821,-0.216323584318161,0.5654518604278564,0.5540454983711243,-0.2322438806295395,0.5888615250587463,0.5750766396522522,-0.23010003566741943,0.5952683687210083,0.5874167084693909,-0.3145608901977539,0.6222524046897888,0.607734739780426,-0.2851141691207886,0.613346517086029,0.5930109620094299,-0.34237146377563477,0.6308547854423523,0.616242527961731,-0.3114689588546753,0.6091248393058777,0.5961873531341553,-0.3545205891132355,0.638373851776123,0.615142822265625,-0.33235982060432434,0.6016886830329895,0.5948575139045715,-0.3196450173854828,0.6337774991989136,0.6122280359268188,-0.2942623794078827
6,0.559328019618988,0.5466870665550232,-0.7245684266090393,0.5650336742401123,0.543753981590271,-0.7230646014213562,0.5679352879524231,0.5433399081230164,-0.7231572866439819,0.5706247091293335,0.5428149700164795,-0.7233195304870605,0.5588610172271729,0.5448817014694214,-0.7311838269233704,0.5573261380195618,0.5451737642288208,-0.7313194274902344,0.5561091899871826,0.5451523661613464,-0.7314584255218506,0.5745313763618469,0.54024338722229,-0.5925679206848145,0.5546056032180786,0.5421382188796997,-0.6288465261459351,0.5632490515708923,0.5470069646835327,-0.659985363483429,0.5561865568161011,0.5473210215568542,-0.6707813739776611,0.5856326818466187,0.5413988828659058,-0.40143153071403503,0.5364248752593994,0.544829249382019,-0.429279088973999,0.6239240765571594,0.5606406331062317,-0.41663631796836853,0.5542026162147522,0.5672169923782349,-0.4230525493621826,0.6718340516090393,0.6025916934013367,-0.5761808753013611,0.5847871899604797,0.6005006432533264,-0.5190409421920776,0.6733438968658447,0.6031322479248047,-0.6463268995285034,0.5900838971138,0.6100903153419495,-0.5902568697929382,0.6806367039680481,0.6095424294471741,-0.6681150794029236,0.5924323201179504,0.608659565448761,-0.625213086605072,0.6742751002311707,0.6073213815689087,-0.5927572250366211,0.5866736173629761,0.6054478287696838,-0.5391098260879517
7,0.560289204120636,0.5478100180625916,-0.7658929228782654,0.5677444338798523,0.5437450408935547,-0.7638493776321411,0.5714893937110901,0.5433899164199829,-0.763916015625,0.5752164721488953,0.5429378747940063,-0.7640674114227295,0.559168815612793,0.544731080532074,-0.771712601184845,0.5570130944252014,0.5450260639190674,-0.771835207939148,0.555349588394165,0.5451019406318665,-0.7719639539718628,0.5810221433639526,0.5402825474739075,-0.6284249424934387,0.5529725551605225,0.5420428514480591,-0.6629485487937927,0.5647652745246887,0.5487843751907349,-0.6994501948356628,0.555939793586731,0.548484742641449,-0.7093267440795898,0.5966740846633911,0.5416823625564575,-0.4310736358165741,0.5199152827262878,0.5434982776641846,-0.4618000388145447,0.6419682502746582,0.559808611869812,-0.5079682469367981,0.5228792428970337,0.5652560591697693,-0.5581638813018799,0.6864282488822937,0.6042997241020203,-0.7331269383430481,0.5526388883590698,0.5978138446807861,-0.7709954977035522,0.6891401410102844,0.6045928597450256,-0.8134186267852783,0.5486825108528137,0.6079207062721252,-0.8545451164245605,0.6899477243423462,0.6104972958564758,-0.8343715071678162,0.5586157441139221,0.6065026521682739,-0.8742908835411072,0.683721125125885,0.608169436454773,-0.7507572770118713,0.5617045164108276,0.6030160784721375,-0.786927342414856
8,0.5638684630393982,0.5507416129112244,-0.7811641097068787,0.571760356426239,0.5465315580368042,-0.7798890471458435,0.5754730105400085,0.5463944673538208,-0.7799563407897949,0.5792042016983032,0.5461679697036743,-0.7801092863082886,0.562568724155426,0.5468047261238098,-0.7875962853431702,0.5599657893180847,0.5467298626899719,-0.7877255082130432,0.5575335025787354,0.5465494394302368,-0.7878291606903076,0.585242509841919,0.5435919165611267,-0.6420660018920898,0.5531923174858093,0.5436833500862122,-0.6754428148269653,0.568053126335144,0.5517120957374573,-0.7132622003555298,0.5574190020561218,0.551105797290802,-0.7228332757949829,0.6035640239715576,0.5456380844116211,-0.4394971430301666,0.5184037089347839,0.5449382662773132,-0.4765935242176056,0.6513339281082153,0.5673560500144958,-0.5450451970100403,0.5093892812728882,0.5640519261360168,-0.608858585357666,0.6797652840614319,0.6063244342803955,-0.8110547661781311,0.5253257155418396,0.5969006419181824,-0.8767876625061035,0.6878586411476135,0.6085242033004761,-0.8979995250701904,0.5197718739509583,0.6070414185523987,-0.9717848300933838,0.68137127161026,0.6118613481521606,-0.9213746786117554,0.5304850339889526,0.60606849193573,-0.9893153309822083,0.6723262071609497,0.6087482571601868,-0.8308113813400269,0.5346785187721252,0.6024259924888611,-0.8938838839530945
9,0.5636810660362244,0.5500284433364868,-0.7470635771751404,0.5716923475265503,0.5462930798530579,-0.7434993982315063,0.5754543542861938,0.546051025390625,-0.7435699701309204,0.5792416930198669,0.5457695126533508,-0.7437363266944885,0.562333345413208,0.5466797351837158,-0.7510242462158203,0.559610903263092,0.5464697480201721,-0.7511328458786011,0.5569877624511719,0.5461466312408447,-0.7512525916099548,0.586482584476471,0.5431921482086182,-0.6035611629486084,0.5528254508972168,0.5433919429779053,-0.6361897587776184,0.5684730410575867,0.5508401393890381,-0.6785282492637634,0.5571889877319336,0.5502191781997681,-0.6880135536193848,0.6068007946014404,0.5468682646751404,-0.4100819230079651,0.5197207927703857,0.5444464087486267,-0.4443177878856659,0.6456527709960938,0.5649232268333435,-0.48297709226608276,0.5052902698516846,0.5663799047470093,-0.5365703105926514,0.6757725477218628,0.6064093708992004,-0.6978152990341187,0.5137463808059692,0.5964704155921936,-0.7455466985702515,0.6825872659683228,0.6088017225265503,-0.7725676894187927,0.5090251564979553,0.6063855290412903,-0.8283088803291321,0.6835995316505432,0.613491952419281,-0.7967017292976379,0.5249024629592896,0.6061182618141174,-0.8473653793334961,0.6699161529541016,0.6103628277778625,-0.7157105803489685,0.5258545875549316,0.6022939085960388,-0.7608630061149597
